Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR15969054_1	1.955667934673557	21.816023472393127
SRR15969054_2	4.9788470632146575	17.732770003381663
SRR15969055_1	2.060612690209763	20.53865053922166
SRR15969055_2	4.879692334376955	17.22279014911581
SRR15969056_1	2.8049779006759255	30.45700850196415
SRR15969056_2	6.6155506168491085	27.015874976836127
SRR15969057_1	3.068597394347612	34.56103629377098
SRR15969057_2	6.996008224949827	30.45306389145584
SRR15969058_1	1.8770026076915431	18.777055608595663
SRR15969058_2	4.36398620917651	15.568824409357585
SRR15969059_1	5.529437110079769	68.93970526721887
SRR15969059_2	11.295355500319221	63.63183667564404
SRR15969060_1	5.468673444795504	72.07940277219677
SRR15969060_2	11.801951964351623	65.28140293736041
SRR15969061_1	5.713265280223108	66.21715769228572
SRR15969061_2	11.415419742860976	60.43963614532851
SRR15969062_1	5.267458856323606	61.78645024220962
SRR15969062_2	10.616011988674256	56.89613343290617
SRR15969063_1	5.990746535743412	71.1200097206368
SRR15969063_2	12.550317362086444	65.38410659723556
SRR15969064_1	5.164545178015392	67.08852147590255
SRR15969064_2	10.80191377907273	60.59282075421643
SRR15969065_1	3.6366182218645267	39.20780860307263
SRR15969065_2	8.271521360447036	35.36396773176257
SRR15969066_1	0.553623085881201	4.330975715355799
SRR15969066_2	1.4130484909349537	3.3273128035356656
SRR15969067_1	0.48751009271449114	3.066127755498996
SRR15969067_2	1.1757006737620548	3.0423879500968187
SRR15969068_1	0.6645073191853336	4.851810675416445
SRR15969068_2	1.532379564841647	4.178319630748918
SRR15969069_1	0.8669923384991708	7.262069995896899
SRR15969069_2	2.020020276751319	5.438245379211926
SRR15969070_1	0.6110532437685479	3.5675959230216856
SRR15969070_2	1.3530448363887517	3.290731342427658
SRR15969071_1	0.5590146751334167	3.618281152877286
SRR15969071_2	1.329672342336146	3.3704455605332195
