Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR15969059_1	(14.0, 3.0)	(15.0, 10.0)	(16.0, 23.0)	(17.0, 40.0)	(18.0, 70.0)	(19.0, 151.0)	(20.0, 290.0)	(21.0, 466.0)	(22.0, 850.0)	(23.0, 1339.0)	(24.0, 2296.0)	(25.0, 3589.0)	(26.0, 4817.0)	(27.0, 6658.0)	(28.0, 9890.0)	(29.0, 13869.0)	(30.0, 19780.0)	(31.0, 28530.0)	(32.0, 41657.0)	(33.0, 65190.0)	(34.0, 120099.0)	(35.0, 320723.0)	(36.0, 2735721.0)	(37.0, 439463.0)									
SRR15969059_2	(12.0, 9.0)	(13.0, 76.0)	(14.0, 119.0)	(15.0, 169.0)	(16.0, 184.0)	(17.0, 208.0)	(18.0, 302.0)	(19.0, 434.0)	(20.0, 631.0)	(21.0, 971.0)	(22.0, 1563.0)	(23.0, 2525.0)	(24.0, 3517.0)	(25.0, 4630.0)	(26.0, 5757.0)	(27.0, 7909.0)	(28.0, 10252.0)	(29.0, 14111.0)	(30.0, 20170.0)	(31.0, 29787.0)	(32.0, 49545.0)	(33.0, 95514.0)	(34.0, 244659.0)	(35.0, 893692.0)	(36.0, 2365411.0)	(37.0, 63379.0)							
SRR15969060_1	(14.0, 2.0)	(15.0, 11.0)	(16.0, 22.0)	(17.0, 42.0)	(18.0, 92.0)	(19.0, 185.0)	(20.0, 326.0)	(21.0, 579.0)	(22.0, 798.0)	(23.0, 1378.0)	(24.0, 2302.0)	(25.0, 3879.0)	(26.0, 6298.0)	(27.0, 10353.0)	(28.0, 16499.0)	(29.0, 25462.0)	(30.0, 37177.0)	(31.0, 54449.0)	(32.0, 76936.0)	(33.0, 112140.0)	(34.0, 184598.0)	(35.0, 413471.0)	(36.0, 2871081.0)	(37.0, 335377.0)									
SRR15969060_2	(5.0, 1.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 13.0)	(13.0, 51.0)	(14.0, 114.0)	(15.0, 155.0)	(16.0, 199.0)	(17.0, 383.0)	(18.0, 725.0)	(19.0, 1293.0)	(20.0, 2263.0)	(21.0, 3748.0)	(22.0, 5893.0)	(23.0, 7954.0)	(24.0, 9578.0)	(25.0, 10825.0)	(26.0, 12752.0)	(27.0, 15754.0)	(28.0, 19486.0)	(29.0, 25994.0)	(30.0, 36308.0)	(31.0, 52750.0)	(32.0, 81378.0)	(33.0, 138451.0)	(34.0, 299406.0)	(35.0, 1006277.0)	(36.0, 2369188.0)	(37.0, 52518.0)
SRR15969061_1	(14.0, 8.0)	(15.0, 10.0)	(16.0, 24.0)	(17.0, 43.0)	(18.0, 106.0)	(19.0, 265.0)	(20.0, 436.0)	(21.0, 749.0)	(22.0, 1253.0)	(23.0, 1973.0)	(24.0, 3135.0)	(25.0, 4627.0)	(26.0, 6302.0)	(27.0, 9257.0)	(28.0, 13816.0)	(29.0, 20578.0)	(30.0, 30690.0)	(31.0, 45153.0)	(32.0, 65792.0)	(33.0, 99351.0)	(34.0, 166000.0)	(35.0, 379023.0)	(36.0, 2695804.0)	(37.0, 316707.0)									
SRR15969061_2	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 11.0)	(13.0, 59.0)	(14.0, 95.0)	(15.0, 134.0)	(16.0, 165.0)	(17.0, 178.0)	(18.0, 314.0)	(19.0, 556.0)	(20.0, 909.0)	(21.0, 1581.0)	(22.0, 2747.0)	(23.0, 4050.0)	(24.0, 5316.0)	(25.0, 6829.0)	(26.0, 8339.0)	(27.0, 11170.0)	(28.0, 14908.0)	(29.0, 21197.0)	(30.0, 30555.0)	(31.0, 45395.0)	(32.0, 71823.0)	(33.0, 123514.0)	(34.0, 270570.0)	(35.0, 920489.0)	(36.0, 2267725.0)	(37.0, 52472.0)				
SRR15969062_1	(14.0, 4.0)	(15.0, 10.0)	(16.0, 47.0)	(17.0, 76.0)	(18.0, 229.0)	(19.0, 473.0)	(20.0, 943.0)	(21.0, 1652.0)	(22.0, 2601.0)	(23.0, 4278.0)	(24.0, 6822.0)	(25.0, 9228.0)	(26.0, 11391.0)	(27.0, 15093.0)	(28.0, 19633.0)	(29.0, 25539.0)	(30.0, 34315.0)	(31.0, 47518.0)	(32.0, 67216.0)	(33.0, 99827.0)	(34.0, 167276.0)	(35.0, 383933.0)	(36.0, 2758004.0)	(37.0, 350340.0)									
SRR15969062_2	(11.0, 3.0)	(12.0, 37.0)	(13.0, 116.0)	(14.0, 200.0)	(15.0, 302.0)	(16.0, 308.0)	(17.0, 470.0)	(18.0, 823.0)	(19.0, 1460.0)	(20.0, 2473.0)	(21.0, 4057.0)	(22.0, 6042.0)	(23.0, 8160.0)	(24.0, 9521.0)	(25.0, 10653.0)	(26.0, 12098.0)	(27.0, 15193.0)	(28.0, 19088.0)	(29.0, 25285.0)	(30.0, 34787.0)	(31.0, 51166.0)	(32.0, 78871.0)	(33.0, 137584.0)	(34.0, 303806.0)	(35.0, 996100.0)	(36.0, 2238325.0)	(37.0, 49520.0)						
SRR15969063_1	(15.0, 6.0)	(16.0, 12.0)	(17.0, 18.0)	(18.0, 33.0)	(19.0, 78.0)	(20.0, 168.0)	(21.0, 319.0)	(22.0, 454.0)	(23.0, 724.0)	(24.0, 1382.0)	(25.0, 2206.0)	(26.0, 3194.0)	(27.0, 4961.0)	(28.0, 7488.0)	(29.0, 11381.0)	(30.0, 17110.0)	(31.0, 25530.0)	(32.0, 38223.0)	(33.0, 60860.0)	(34.0, 114948.0)	(35.0, 314068.0)	(36.0, 2696401.0)	(37.0, 412127.0)										
SRR15969063_2	(12.0, 14.0)	(13.0, 60.0)	(14.0, 128.0)	(15.0, 133.0)	(16.0, 165.0)	(17.0, 161.0)	(18.0, 235.0)	(19.0, 306.0)	(20.0, 417.0)	(21.0, 638.0)	(22.0, 1038.0)	(23.0, 1564.0)	(24.0, 2143.0)	(25.0, 2934.0)	(26.0, 3908.0)	(27.0, 5268.0)	(28.0, 7202.0)	(29.0, 10572.0)	(30.0, 15541.0)	(31.0, 23683.0)	(32.0, 39724.0)	(33.0, 79699.0)	(34.0, 217201.0)	(35.0, 849431.0)	(36.0, 2381194.0)	(37.0, 68332.0)							
