Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR15969059_1 - illumina_universal_adapter	(1, 0.0002620871995563388)	(2, 0.0002620871995563388)	(3, 0.0002620871995563388)	(4, 0.0002620871995563388)	(5, 0.0002620871995563388)	(6, 0.0002620871995563388)	(7, 0.0002882959195119727)	(8, 0.00031450463946760653)	(9, 0.00031450463946760653)	(10, 0.0004717569592014098)	(12, 0.0007338441587577487)	(14, 0.000864887758535918)	(16, 0.000864887758535918)	(18, 0.0008910964784915519)	(20, 0.0009697226383584536)	(22, 0.0010090357182919044)	(24, 0.0010483487982253551)	(26, 0.0011793923980035247)	(28, 0.0013759577976707785)	(30, 0.0022801586361401475)	(32, 0.002804333035252825)	(34, 0.002817437395230642)	(36, 0.0029484809950088113)	(38, 0.0030926289547647976)	(40, 0.00321056819456515)	(42, 0.003289194354432052)	(44, 0.0033678205142989534)	(46, 0.0034988641140771227)	(48, 0.003590594633921841)	(50, 0.003695429513744377)	(52, 0.0038002643935669124)	(54, 0.004245812632812688)	(56, 0.004586525992235929)	(58, 0.004914134991681352)	(60, 0.00560866607050565)	(62, 0.006224570989463047)	(64, 0.00689289334833171)	(66, 0.007574320067178191)	(68, 0.008727503745226082)	(70, 0.009644808943673266)	(72, 0.010942140581477144)	(74, 0.01255397685874863)	(76, 0.014047873896219759)	(78, 0.015856275573158496)	(80, 0.017979181889564842)	(82, 0.019853105366392662)	(84, 0.022395351202089152)	(86, 0.0256845455565212)	(88, 0.02911788787070924)	(90, 0.032944360984231785)	(92, 0.037046025657288484)	(94, 0.04080697697092195)	(96, 0.04565559016271421)	(98, 0.05167049139253219)	(100, 0.059192394019799116)	(102, 0.06759228876557977)	(104, 0.07681775818996289)	(106, 0.0865674020134587)	(108, 0.09830890855358268)	(110, 0.11091530285224258)	(112, 0.12620809094635493)	(114, 0.14631017915232614)	(116, 0.16414521308213498)	(118, 0.18323826556981426)	(120, 0.2074682271687978)	(122, 0.23606194064039435)	(124, 0.2567537250453673)	(126, 0.2767771870914716)	(128, 0.29863525953447023)	(130, 0.3235859609322337)	(132, 0.347186913252282)	(134, 0.37339563320791586)	(136, 0.39901465696454796)	(138, 0.42673037831763083)
SRR15969059_2 - illumina_universal_adapter	(1, 0.0002620871995563388)	(2, 0.0002620871995563388)	(3, 0.0002620871995563388)	(4, 0.0002620871995563388)	(5, 0.0002620871995563388)	(6, 0.0002620871995563388)	(7, 0.0002882959195119727)	(8, 0.00031450463946760653)	(9, 0.00031450463946760653)	(10, 0.00044554823924577595)	(12, 0.0007076354388021147)	(14, 0.0008386790385802841)	(16, 0.000864887758535918)	(18, 0.0008910964784915519)	(20, 0.0009697226383584536)	(22, 0.0010090357182919044)	(24, 0.0010483487982253551)	(26, 0.0011793923980035247)	(28, 0.0013628534376929618)	(30, 0.002188428116295429)	(32, 0.002778124315297191)	(34, 0.002830541755208459)	(36, 0.0030008984349200792)	(38, 0.003184359474609516)	(40, 0.003315403074387686)	(42, 0.0034202379542102213)	(44, 0.0035512815539883906)	(46, 0.00368232515376656)	(48, 0.0038264731135225463)	(50, 0.004009934153211984)	(52, 0.0041409777529901525)	(54, 0.004717569592014098)	(56, 0.00513690911130424)	(58, 0.005556248630594382)	(60, 0.006329405869285582)	(62, 0.006997728228154245)	(64, 0.007849511626712347)	(66, 0.008753712465181716)	(68, 0.009985522303096508)	(70, 0.010929036221499329)	(72, 0.012291889659192288)	(74, 0.013890621576485955)	(76, 0.015489353493779622)	(78, 0.01738948569056308)	(80, 0.019682748686681045)	(82, 0.021727028843220485)	(84, 0.024374109558739507)	(86, 0.027623990833238108)	(88, 0.031018020067492696)	(90, 0.03484449318101524)	(92, 0.03912961889376138)	(94, 0.04312644868699554)	(96, 0.048184731638432884)	(98, 0.05421273722822868)	(100, 0.061734639855495606)	(102, 0.07020005640116535)	(104, 0.07968761302510481)	(106, 0.08969934404815695)	(108, 0.10186019010757108)	(110, 0.11475488032574294)	(112, 0.1305194253790567)	(114, 0.15119810542405185)	(116, 0.16971456607270718)	(118, 0.1895414627191442)	(120, 0.2138893635579281)	(122, 0.24249618138950246)	(124, 0.2631617570745198)	(126, 0.28380112403958146)	(128, 0.30582955316229177)	(130, 0.33092440251981114)	(132, 0.35472192023952676)	(134, 0.3811796230347391)	(136, 0.40724419503061704)	(138, 0.43541856898292347)
SRR15969060_1 - illumina_universal_adapter	(1, 7.222898900843321e-05)	(2, 7.222898900843321e-05)	(3, 7.222898900843321e-05)	(4, 7.222898900843321e-05)	(5, 9.630531867791096e-05)	(6, 9.630531867791096e-05)	(7, 9.630531867791096e-05)	(8, 0.00014445797801686643)	(9, 0.00014445797801686643)	(10, 0.00030095412086847173)	(12, 0.0003611449450421661)	(14, 0.00038522127471164383)	(16, 0.00042133576921586045)	(18, 0.00048152659338955475)	(20, 0.0005056029230590325)	(22, 0.0005056029230590325)	(24, 0.0005056029230590325)	(26, 0.0005056029230590325)	(28, 0.0006019082417369435)	(30, 0.0012880836373170591)	(32, 0.001673304912028703)	(34, 0.001757572065871875)	(36, 0.001769610230706614)	(38, 0.0018659155493845247)	(40, 0.001926106373558219)	(42, 0.0019501827032276967)	(44, 0.002034449857070869)	(46, 0.0020946406812445634)	(48, 0.002118717010914041)	(50, 0.002202984164757213)	(52, 0.0023715184724435573)	(54, 0.0024798619559562073)	(56, 0.0026243199339730733)	(58, 0.0027808160768246788)	(60, 0.00308177019769315)	(62, 0.00351514413174375)	(64, 0.004189281362489127)	(66, 0.004622655296539727)	(68, 0.005128258219598758)	(70, 0.006223731219559995)	(72, 0.007343280549190711)	(74, 0.008703593175516201)	(76, 0.009835180669981656)	(78, 0.011532561911679836)	(80, 0.013001218021517979)	(82, 0.01489120990057198)	(84, 0.016853430768634416)	(86, 0.019008262274052674)	(88, 0.02153627688934784)	(90, 0.024317092966172515)	(92, 0.02780816076824679)	(94, 0.031780755163710615)	(96, 0.03636729596574612)	(98, 0.04202523343807339)	(100, 0.049007369042221936)	(102, 0.05772300038257287)	(104, 0.06660716603061016)	(106, 0.07627381239290548)	(108, 0.08746930568921263)	(110, 0.09965192850196836)	(112, 0.11602383267721322)	(114, 0.13612756795122713)	(116, 0.15479876160990713)	(118, 0.17393944369714193)	(120, 0.20060397880608852)	(122, 0.2320356271895917)	(124, 0.25395712535365117)	(126, 0.27682963853965503)	(128, 0.30047259427508216)	(130, 0.32784738110927836)	(132, 0.35430726741603435)	(134, 0.38222377166779387)	(136, 0.41106721461182816)	(138, 0.4415598861382217)
SRR15969060_2 - illumina_universal_adapter	(1, 7.222898900843321e-05)	(2, 7.222898900843321e-05)	(3, 7.222898900843321e-05)	(4, 7.222898900843321e-05)	(5, 9.630531867791096e-05)	(6, 9.630531867791096e-05)	(7, 9.630531867791096e-05)	(8, 0.00014445797801686643)	(9, 0.00014445797801686643)	(10, 0.00030095412086847173)	(12, 0.0003611449450421661)	(14, 0.00038522127471164383)	(16, 0.00042133576921586045)	(18, 0.00048152659338955475)	(20, 0.0005296792527285102)	(22, 0.0005296792527285102)	(24, 0.0005296792527285102)	(26, 0.000553755582397988)	(28, 0.0006741372307453767)	(30, 0.0013482744614907534)	(32, 0.001745533901037136)	(34, 0.001853877384549786)	(36, 0.001865915549384525)	(38, 0.0019742590328971745)	(40, 0.0020705643515750854)	(42, 0.0021668696702529964)	(44, 0.0022631749889309074)	(46, 0.0023715184724435573)	(48, 0.002407632966947774)	(50, 0.0025400527801299018)	(52, 0.0027206252526509843)	(54, 0.0028771213955025897)	(56, 0.003117884692197367)	(58, 0.00329845716471845)	(60, 0.003611449450421661)	(62, 0.004092976043811215)	(64, 0.004803227769060809)	(66, 0.005332907021789319)	(68, 0.005922777098691524)	(70, 0.0070904790876611945)	(72, 0.008282257406300342)	(74, 0.009750913516138484)	(76, 0.011002882658951326)	(78, 0.012736378395153724)	(80, 0.014180958175322389)	(82, 0.01620336986755852)	(84, 0.018249857889464125)	(86, 0.02047691838389082)	(88, 0.023125314647533368)	(90, 0.026014474207870696)	(92, 0.029553694669283925)	(94, 0.033550365394417234)	(96, 0.038245249679965385)	(98, 0.044168026778656916)	(100, 0.051234429536648626)	(102, 0.06002228986600801)	(104, 0.06902683716239268)	(106, 0.0787897888433659)	(108, 0.09008158745835096)	(110, 0.10222809577660248)	(112, 0.11851573279800418)	(114, 0.1387759642148697)	(116, 0.157663844840575)	(118, 0.17693694674099192)	(120, 0.2034449857070869)	(122, 0.2346719852883995)	(124, 0.25670182693597166)	(126, 0.27968268360548815)	(128, 0.3035062118134364)	(130, 0.33092915130697154)	(132, 0.3571001216576938)	(134, 0.38513700755780067)	(136, 0.4141610229743561)	(138, 0.44462961817108015)
SRR15969061_1 - illumina_universal_adapter	(1, 0.0003107921002863949)	(2, 0.0003107921002863949)	(3, 0.0003107921002863949)	(4, 0.0003107921002863949)	(5, 0.0003107921002863949)	(6, 0.0003107921002863949)	(7, 0.0004402888087390595)	(8, 0.0005179868338106582)	(9, 0.0005179868338106582)	(10, 0.0006474835422633227)	(12, 0.0009453259717044513)	(14, 0.0010748226801571158)	(16, 0.0011007220218476486)	(18, 0.0011266213635381815)	(20, 0.001191369717764514)	(22, 0.0012690677428361125)	(24, 0.0013726651095982442)	(26, 0.0014115141221340435)	(28, 0.001657557868194106)	(30, 0.002758279890041755)	(32, 0.0030949713320186827)	(34, 0.003107921002863949)	(36, 0.003107921002863949)	(38, 0.0031856190279355477)	(40, 0.0031856190279355477)	(42, 0.003302166065542946)	(44, 0.0034057634323050776)	(46, 0.00347051178653141)	(48, 0.0036000084949840746)	(50, 0.003703605861746206)	(52, 0.0037683542159725383)	(54, 0.003910800595270469)	(56, 0.0041956933538663315)	(58, 0.004441737099926394)	(60, 0.004856126566974921)	(62, 0.0052964153757139795)	(64, 0.006060445955584701)	(66, 0.006772677852074357)	(68, 0.007808651519695673)	(70, 0.008974121895769654)	(72, 0.010359736676213163)	(74, 0.01205614355694307)	(76, 0.013558305374993978)	(78, 0.015423057976712349)	(80, 0.01759860267871711)	(82, 0.019955442772555607)	(84, 0.022571276283299434)	(86, 0.025264807819114853)	(88, 0.02870942026395573)	(90, 0.03225763007555874)	(92, 0.03658282013787774)	(94, 0.04141304736316212)	(96, 0.04757709068550896)	(98, 0.05410372479152325)	(100, 0.06164043322346833)	(102, 0.07053685709416638)	(104, 0.08021026121558042)	(106, 0.09040165217080512)	(108, 0.1023412486901408)	(110, 0.11566645998991998)	(112, 0.1324621830762306)	(114, 0.1523787768362504)	(116, 0.17037881931117077)	(118, 0.18964792952892723)	(120, 0.21395446170549237)	(122, 0.24377755366214102)	(124, 0.2644193289894957)	(126, 0.2870942026395573)	(128, 0.31215181572514794)	(130, 0.33950152055035066)	(132, 0.3646627310027034)	(134, 0.3922843789156567)	(136, 0.4209808495087672)	(138, 0.45029890430245045)
SRR15969061_2 - illumina_universal_adapter	(1, 0.00033669144197692784)	(2, 0.00033669144197692784)	(3, 0.00033669144197692784)	(4, 0.00033669144197692784)	(5, 0.00033669144197692784)	(6, 0.00033669144197692784)	(7, 0.0004402888087390595)	(8, 0.0005179868338106582)	(9, 0.0005179868338106582)	(10, 0.0006474835422633227)	(12, 0.0009194266300139183)	(14, 0.0010489233384665829)	(16, 0.0010748226801571158)	(18, 0.0011007220218476486)	(20, 0.001165470376073981)	(22, 0.0012431684011455797)	(24, 0.0013467657679077114)	(26, 0.0013856147804435107)	(28, 0.0016187088556583067)	(30, 0.002732380548351222)	(32, 0.0030820216611734163)	(34, 0.003159719686245015)	(36, 0.003159719686245015)	(38, 0.0032503673821618804)	(40, 0.003263317053007147)	(42, 0.003353964748924012)	(44, 0.003496411128221943)	(46, 0.003587058824138808)	(48, 0.0037424548742820054)	(50, 0.003897850924425203)	(52, 0.004053246974568401)	(54, 0.004221592695556864)	(56, 0.0045841834792243255)	(58, 0.004830227225284388)	(60, 0.005309365046559246)	(62, 0.005879150563750971)	(64, 0.006694979827002757)	(66, 0.007420161394337679)	(68, 0.008559732428721127)	(70, 0.009854699513247772)	(72, 0.011343911660453416)	(74, 0.013092117224564385)	(76, 0.014775574434449025)	(78, 0.016705075390393728)	(80, 0.018932418775779558)	(82, 0.021392856236380185)	(84, 0.024021639417969275)	(86, 0.026831717991392095)	(88, 0.03039287747384037)	(90, 0.03401878531051498)	(92, 0.038343975372833974)	(94, 0.043420246344178424)	(96, 0.049726736045823186)	(98, 0.05642171587282595)	(100, 0.06410087068406896)	(102, 0.07321743895913654)	(104, 0.08286494373886005)	(106, 0.09325057975676374)	(108, 0.10520312594694467)	(110, 0.1185153875758786)	(112, 0.13557010407909453)	(114, 0.15535720113066165)	(116, 0.17339609261811784)	(118, 0.1926393034941838)	(120, 0.21693288599990365)	(122, 0.24623799112274164)	(124, 0.2665948736915005)	(126, 0.2893862943791695)	(128, 0.3144309577939148)	(130, 0.34153461887305747)	(132, 0.3669418730714703)	(134, 0.39433042690920883)	(136, 0.42301394783147406)	(138, 0.4522413549292404)
SRR15969062_1 - illumina_universal_adapter	(1, 9.983905943618886e-05)	(2, 9.983905943618886e-05)	(3, 9.983905943618886e-05)	(4, 9.983905943618886e-05)	(5, 0.0001247988242952361)	(6, 0.0001247988242952361)	(7, 0.0001497585891542833)	(8, 0.00019967811887237772)	(9, 0.00019967811887237772)	(10, 0.00043679588503332627)	(12, 0.0007113532984828457)	(14, 0.0008361521227780817)	(16, 0.000923511299784747)	(18, 0.0009734308295028415)	(20, 0.0010982296537980774)	(22, 0.0011855888308047427)	(24, 0.0012230284780933136)	(26, 0.001310387655099979)	(28, 0.0015350255388314037)	(30, 0.0024959764859047214)	(32, 0.0027830137817837644)	(34, 0.0028578930763609066)	(36, 0.002932772370938048)	(38, 0.0030326114303742364)	(40, 0.0031823700195285198)	(42, 0.0033071688438237557)	(44, 0.0034070079032599452)	(46, 0.0035193268451256575)	(48, 0.0036940451991389883)	(50, 0.0038812434355818422)	(52, 0.004031002024736125)	(54, 0.004243160026038027)	(56, 0.004654996146212306)	(58, 0.005054352383957061)	(60, 0.005516108033849435)	(62, 0.006289860744479899)	(64, 0.007051133572680838)	(66, 0.00816184310890844)	(68, 0.009285032527565565)	(70, 0.010620379947524591)	(72, 0.012529801959241704)	(74, 0.014888499738421664)	(76, 0.0170225596338702)	(78, 0.019568455649493017)	(80, 0.022114351665115835)	(82, 0.025421520508939588)	(84, 0.028591410646038585)	(86, 0.03243521443433185)	(88, 0.0363164578699137)	(90, 0.04072185636753553)	(92, 0.045601490397479266)	(94, 0.051816471847382015)	(96, 0.059666317895552365)	(98, 0.06785312076931985)	(100, 0.07748759000491208)	(102, 0.08824524865916143)	(104, 0.09900290731341077)	(106, 0.11269333833859818)	(108, 0.12739463984057697)	(110, 0.14339384911522624)	(112, 0.1634490201794707)	(114, 0.18614992631877414)	(116, 0.20734076668410523)	(118, 0.22999175329369057)	(120, 0.25688589992931393)	(122, 0.2882104048274182)	(124, 0.31482999404959205)	(126, 0.3421858963351078)	(128, 0.37006595368266354)	(130, 0.4030378030614649)	(132, 0.4360845317348434)	(134, 0.4712778001861)	(136, 0.508792326769248)	(138, 0.5488777091328778)
SRR15969062_2 - illumina_universal_adapter	(1, 0.0001247988242952361)	(2, 0.0001247988242952361)	(3, 0.0001247988242952361)	(4, 0.0001247988242952361)	(5, 0.0001497585891542833)	(6, 0.0001497585891542833)	(7, 0.0001747183540133305)	(8, 0.00022463788373142495)	(9, 0.00022463788373142495)	(10, 0.00046175564989237353)	(12, 0.0007363130633418929)	(14, 0.000861111887637129)	(16, 0.0009484710646437942)	(18, 0.0009983905943618887)	(20, 0.0011231894186571247)	(22, 0.0012230284780933136)	(24, 0.0012979077726704552)	(26, 0.001397746832106644)	(28, 0.0016348645982675928)	(30, 0.0025958155453409105)	(32, 0.002970212018226619)	(34, 0.0030700510776628075)	(36, 0.003157410254669473)	(38, 0.003244769431676138)	(40, 0.003431967668118992)	(42, 0.0035817262572732755)	(44, 0.003781404376145653)	(46, 0.003968602612588508)	(48, 0.004205720378749456)	(50, 0.004405398497621834)	(52, 0.004580116851635164)	(54, 0.004817234617796113)	(56, 0.005316429914977057)	(58, 0.005778185564869431)	(60, 0.006264900979620851)	(62, 0.007113532984828457)	(64, 0.007937205225177015)	(66, 0.009172713585699852)	(68, 0.010433181711081737)	(70, 0.011843408425617903)	(72, 0.013777790202194063)	(74, 0.01619888739352164)	(76, 0.018619984584849224)	(78, 0.021340598954485368)	(80, 0.02389897485253771)	(82, 0.027281022990938607)	(84, 0.030600671717191885)	(86, 0.034369596210908016)	(88, 0.038250839646489856)	(90, 0.042880876027843115)	(92, 0.04786034911722303)	(94, 0.054225089156280076)	(96, 0.062099894969309476)	(98, 0.07072349372811029)	(100, 0.08055764108257489)	(102, 0.0916647364448509)	(104, 0.10270943239497929)	(106, 0.11656210189175051)	(108, 0.13135076257073597)	(110, 0.14767444878855285)	(112, 0.16812897609054206)	(114, 0.1911543591730131)	(116, 0.21279447530580703)	(118, 0.23570753944641237)	(120, 0.26330055949808906)	(122, 0.29466250404348193)	(124, 0.3215566506791053)	(126, 0.3490872713186344)	(128, 0.3772418860796396)	(130, 0.41030109463544767)	(132, 0.4442713346086109)	(134, 0.4801260368286322)	(136, 0.5186264741237125)	(138, 0.5594856091979729)
SRR15969063_1 - illumina_universal_adapter	(1, 5.3883795822443195e-05)	(2, 8.082569373366479e-05)	(3, 0.00018859328537855117)	(4, 0.00018859328537855117)	(5, 0.00024247708120099436)	(6, 0.00024247708120099436)	(7, 0.00032330277493465917)	(8, 0.0003502446728458808)	(9, 0.0003502446728458808)	(10, 0.0005388379582244319)	(12, 0.0009699083248039775)	(14, 0.000996850222715199)	(16, 0.0010103211716708097)	(18, 0.0010237921206264207)	(20, 0.0010776759164488638)	(22, 0.0010911468654044745)	(24, 0.0011450306612269178)	(26, 0.0011989144570493612)	(28, 0.0013740367934723015)	(30, 0.0020745261391640632)	(32, 0.002222706577675782)	(34, 0.0022631194245426142)	(36, 0.0023170032203650576)	(38, 0.002424770812009944)	(40, 0.002599893148432884)	(42, 0.0027211316890333815)	(44, 0.002815428331722657)	(46, 0.002896254025456322)	(48, 0.0029770797191899863)	(50, 0.0030444344639680406)	(52, 0.003300382494124646)	(54, 0.0036640981159261374)	(56, 0.003933517095038353)	(58, 0.004108639431461294)	(60, 0.0045531807469964495)	(62, 0.004984251113575995)	(64, 0.005469205275977985)	(66, 0.006034985132113637)	(68, 0.006695061630938567)	(70, 0.007516789517230825)	(72, 0.008217278862922587)	(74, 0.009335367626238284)	(76, 0.010480398287465201)	(78, 0.011409893765402346)	(80, 0.012918640048430755)	(82, 0.014306147790858668)	(84, 0.01585530692075391)	(86, 0.018280077732763855)	(88, 0.020826087085374295)	(90, 0.022900613224538357)	(92, 0.025271500240725858)	(94, 0.028208167113049014)	(96, 0.03237069034033275)	(98, 0.036991225832107254)	(100, 0.04143663898745882)	(102, 0.048333764852731546)	(104, 0.055109652177403774)	(106, 0.062612970745679)	(108, 0.0714903261074265)	(110, 0.08118940935546629)	(112, 0.09437746838300926)	(114, 0.11042136858914173)	(116, 0.12583213419436046)	(118, 0.14213198243064953)	(120, 0.16361814601484875)	(122, 0.18867411107228485)	(124, 0.20629411230622377)	(126, 0.2235503979183612)	(128, 0.24320451244459734)	(130, 0.26393630288728237)	(132, 0.28210861302840134)	(134, 0.3015337214223921)	(136, 0.32179402865163076)	(138, 0.3437247335513651)
SRR15969063_2 - illumina_universal_adapter	(1, 5.3883795822443195e-05)	(2, 8.082569373366479e-05)	(3, 0.00018859328537855117)	(4, 0.00018859328537855117)	(5, 0.00024247708120099436)	(6, 0.00024247708120099436)	(7, 0.00032330277493465917)	(8, 0.0003502446728458808)	(9, 0.0003502446728458808)	(10, 0.0005388379582244319)	(12, 0.0009429664268927559)	(14, 0.0009699083248039775)	(16, 0.0009833792737595883)	(18, 0.0010103211716708097)	(20, 0.0010776759164488638)	(22, 0.0011180887633156964)	(24, 0.0011719725591381393)	(26, 0.001279740150783026)	(28, 0.0014548624872059662)	(30, 0.002155351832897728)	(32, 0.0022900613224538357)	(34, 0.0023708870161875005)	(36, 0.0024382417609655543)	(38, 0.002599893148432884)	(40, 0.0028019573827670462)	(42, 0.002963608770234376)	(44, 0.003071376361879262)	(46, 0.003219556800390981)	(48, 0.0033273243920358673)	(50, 0.0034216210347251426)	(52, 0.0037853366565266345)	(54, 0.0041759941762393475)	(56, 0.004634006440730115)	(58, 0.00488995447088672)	(60, 0.005469205275977984)	(62, 0.0059945722852468054)	(64, 0.00657382309033807)	(66, 0.007220428640207388)	(68, 0.00793438893485476)	(70, 0.008810000616969462)	(72, 0.009550902809528056)	(74, 0.010722875368666195)	(76, 0.011908318876759947)	(78, 0.012891698150519534)	(80, 0.014589037718926494)	(82, 0.016313319185244677)	(84, 0.018010658753651636)	(86, 0.020408487667750358)	(88, 0.02314309030573935)	(90, 0.025352325934459522)	(92, 0.02787139338915874)	(94, 0.030861944057304337)	(96, 0.0351726477230998)	(98, 0.03988747985756357)	(100, 0.04442718965560441)	(102, 0.05149943785730009)	(104, 0.05845044751839525)	(106, 0.06595376608667047)	(108, 0.07519483707021948)	(110, 0.0850690426546822)	(112, 0.09839181117178128)	(114, 0.11457042086746984)	(116, 0.13008895406433346)	(118, 0.14641574419853376)	(120, 0.16796926252751104)	(122, 0.1928635761974798)	(124, 0.21072605451261972)	(126, 0.22806316581849082)	(128, 0.24787893173219433)	(130, 0.26886667020503596)	(132, 0.2872006317336222)	(134, 0.3068278043619471)	(136, 0.32781554283478875)	(138, 0.3500156667136354)
SRR15969064_1 - illumina_universal_adapter	(1, 5.2535935893549586e-05)	(2, 5.2535935893549586e-05)	(3, 0.00010507187178709917)	(4, 0.00010507187178709917)	(5, 0.00013133983973387397)	(6, 0.00015760780768064875)	(7, 0.00023641171152097315)	(8, 0.00026267967946774795)	(9, 0.00026267967946774795)	(10, 0.0003546175672814597)	(12, 0.00045968943906855885)	(14, 0.0004990913909887211)	(16, 0.0005384933429088833)	(18, 0.000630431230722595)	(20, 0.000761771070456469)	(22, 0.000761771070456469)	(24, 0.000761771070456469)	(26, 0.0007749050544298563)	(28, 0.0008799769262169555)	(30, 0.001720551900513749)	(32, 0.0017993558043540732)	(34, 0.0018650257242210102)	(36, 0.00191756166011456)	(38, 0.00191756166011456)	(40, 0.00191756166011456)	(42, 0.001956963612034722)	(44, 0.0020357675158750466)	(46, 0.002180241339582308)	(48, 0.0022721792273960196)	(50, 0.0023641171152097313)	(52, 0.0025742608587839295)	(54, 0.00287634249017184)	(56, 0.003309763961293624)	(58, 0.003677515512548471)	(60, 0.003953329175989606)	(62, 0.0043867506471113905)	(64, 0.00499091390988721)	(66, 0.00594969473994449)	(68, 0.006869073618081608)	(70, 0.008090534127606637)	(72, 0.009469602444812313)	(74, 0.011242690281219611)	(76, 0.012792500390079325)	(78, 0.01452618627456646)	(80, 0.01679836550196248)	(82, 0.019293822456906085)	(84, 0.022065093075290827)	(86, 0.025716340619892523)	(88, 0.029722205731775676)	(90, 0.03389881263531287)	(92, 0.03902106638493395)	(94, 0.04480001933322441)	(96, 0.05218131832626813)	(98, 0.059129195848190055)	(100, 0.06800776901419994)	(102, 0.07859376009675018)	(104, 0.0912811886150424)	(106, 0.10438890462048303)	(108, 0.11863927723160836)	(110, 0.13352008107345628)	(112, 0.15494160893405112)	(114, 0.1799618484033541)	(116, 0.2024866309177135)	(118, 0.22887280472024876)	(120, 0.26179970254153095)	(122, 0.30118852047771977)	(124, 0.33004388326725187)	(126, 0.3591881937041985)	(128, 0.39208882355753394)	(130, 0.42827294940421623)	(132, 0.4649955685938074)	(134, 0.5047784060491978)	(136, 0.5456644981583527)	(138, 0.5882317402161013)
SRR15969064_2 - illumina_universal_adapter	(1, 5.2535935893549586e-05)	(2, 5.2535935893549586e-05)	(3, 0.00010507187178709917)	(4, 0.00010507187178709917)	(5, 0.00013133983973387397)	(6, 0.00015760780768064875)	(7, 0.00023641171152097315)	(8, 0.00026267967946774795)	(9, 0.00026267967946774795)	(10, 0.0003546175672814597)	(12, 0.00045968943906855885)	(14, 0.0005253593589354959)	(16, 0.000564761310855658)	(18, 0.0006566991986693698)	(20, 0.0007880390384032437)	(22, 0.0007880390384032437)	(24, 0.0007880390384032437)	(26, 0.0008011730223766312)	(28, 0.0009062448941637303)	(30, 0.001759953852433911)	(32, 0.0018781597081943976)	(34, 0.0019700975960081093)	(36, 0.002048901499848434)	(38, 0.002088303451768596)	(40, 0.0021014374357419836)	(42, 0.0021408393876621457)	(44, 0.0022327772754758574)	(46, 0.0024297870350766682)	(48, 0.002561126874810542)	(50, 0.002679332730571029)	(52, 0.002915744442092002)	(54, 0.0032178260734799123)	(56, 0.003690649496521858)	(58, 0.004071535031750093)	(60, 0.004373616663138003)	(62, 0.004820172118233174)	(64, 0.0054768713169025445)	(66, 0.006514456050800149)	(68, 0.0074863708648308155)	(70, 0.008760367310249394)	(72, 0.010178837579375231)	(74, 0.012070131271543017)	(76, 0.013738147236163217)	(78, 0.01565570889627778)	(80, 0.018046093979434283)	(82, 0.020607220854244823)	(84, 0.02349669732839005)	(86, 0.027174212840938523)	(88, 0.03129828380858217)	(90, 0.035448622744172584)	(92, 0.04089922609312835)	(94, 0.04684892083307284)	(96, 0.054361559665850434)	(98, 0.061348839139692524)	(100, 0.07021427832172902)	(102, 0.08065579558057201)	(104, 0.09331695613091745)	(106, 0.10670048579979921)	(108, 0.12112160020257856)	(110, 0.1360286720123733)	(112, 0.1574501998729681)	(114, 0.1822602955986969)	(116, 0.2047719441290829)	(118, 0.23088230426817702)	(120, 0.26359905834588504)	(122, 0.3023049091154577)	(124, 0.3309501281614156)	(126, 0.3596872850951872)	(128, 0.39227269933316133)	(130, 0.4281022076125622)	(132, 0.46468035297844607)	(134, 0.5038984291229809)	(136, 0.5447057173282954)	(138, 0.5871284855623368)
