Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR15969059_1	(1, 0.07141876187910232)	(2, 0.0)	(3, 0.01451963085542117)	(4, 0.0)	(5, 0.11120359877175455)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04544067865907802)	(50, 0.0)	(55, 0.0)	(60, 0.005294161431038044)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.04555075528289168)	(110, 0.0)	(115, 0.0)	(120, 0.046882158256637885)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 5.241743991126776e-06)	(145, 0.0)	(150, 0.0)
SRR15969059_2	(1, 0.1547362826180624)	(2, 0.0)	(3, 0.027492947233459936)	(4, 0.0)	(5, 0.0)	(6, 0.00020966975964507105)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.620871995563388e-05)	(120, 1.5725231973380327e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969060_1	(1, 0.023185505471707064)	(2, 0.008282257406300342)	(3, 0.00905269995572363)	(4, 0.0)	(5, 0.04557649206432136)	(6, 0.0003611449450421661)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.030962159954948373)	(50, 0.0)	(55, 0.0)	(60, 0.002089825415310668)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.03132330489999054)	(110, 0.0)	(115, 0.0)	(120, 0.03267157936148129)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969060_2	(1, 0.06700442547015655)	(2, 0.0007704425494232877)	(3, 0.009967600483163783)	(4, 4.815265933895548e-05)	(5, 0.0)	(6, 0.0002648396263642551)	(7, 0.0)	(8, 0.0)	(9, 2.407632966947774e-05)	(10, 4.815265933895548e-06)	(15, 9.630531867791096e-06)	(20, 2.407632966947774e-05)	(25, 3.370686153726883e-05)	(30, 6.741372307453766e-05)	(35, 1.926106373558219e-05)	(40, 2.8891595603373284e-05)	(45, 3.852212747116438e-05)	(50, 6.741372307453766e-05)	(55, 0.000202241169223613)	(60, 0.00026965489229815065)	(65, 0.0001107511164795976)	(70, 0.00011556638241349314)	(75, 0.00025039382856256845)	(80, 0.00025039382856256845)	(85, 0.0003129922857032106)	(90, 0.00015408850988465753)	(95, 0.00027447015823204625)	(100, 0.000298546487901524)	(105, 0.00041892813624891265)	(110, 0.000298546487901524)	(115, 0.00016853430768634417)	(120, 0.00017334957362023974)	(125, 0.00043337393405059926)	(130, 0.0005730166461335702)	(135, 0.0006163540395386301)	(140, 0.0004670807955878681)	(145, 0.0004911571252573458)	(150, 0.0006019082417369435)
SRR15969061_1	(1, 0.03227057974640401)	(2, 0.008339588024351597)	(3, 0.009064769591686518)	(4, 0.0)	(5, 0.05809222341186532)	(6, 0.0006215842005727898)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.027624237847122403)	(50, 0.0)	(55, 0.0)	(60, 0.0025588549590246515)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.027846972185660984)	(110, 0.0)	(115, 0.0)	(120, 0.029483810580502666)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969061_2	(1, 0.07860450203076738)	(2, 0.0006992822256443886)	(3, 0.012846073478504322)	(4, 7.769802507159873e-05)	(5, 0.0)	(6, 0.00038849012535799364)	(7, 0.0)	(8, 0.0)	(9, 7.769802507159873e-05)	(10, 0.0)	(15, 0.0)	(20, 3.107921002863949e-05)	(25, 4.143894670485265e-05)	(30, 9.323763008591847e-05)	(35, 2.0719473352426326e-05)	(40, 8.28778934097053e-05)	(45, 5.179868338106582e-05)	(50, 8.80577617478119e-05)	(55, 0.00021237460186236988)	(60, 0.00023309407521479618)	(65, 0.00010359736676213164)	(70, 0.0001398564451288777)	(75, 0.0002279142068766896)	(80, 0.0003159719686245015)	(85, 0.00029525249527207517)	(90, 0.00019683499684805013)	(95, 0.0002641732852434357)	(100, 0.00033669144197692784)	(105, 0.00041438946704852657)	(110, 0.0003211518369626081)	(115, 0.00027453302191964886)	(120, 0.00024863368022911593)	(125, 0.00041438946704852657)	(130, 0.0005231667021487647)	(135, 0.0005801452538679372)	(140, 0.00041956933538663313)	(145, 0.0004869076237820187)	(150, 0.00046618815042959237)
SRR15969062_1	(1, 0.03521822821611562)	(2, 0.007462969692855117)	(3, 0.009185193468129377)	(4, 0.0)	(5, 0.057557217764962885)	(6, 0.00019967811887237774)	(7, 0.0)	(8, 0.0)	(9, 2.4959764859047218e-05)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.024889877517441886)	(50, 0.0)	(55, 0.0)	(60, 0.0025708557804818635)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.025349137190848352)	(110, 0.0)	(115, 0.0)	(120, 0.025458960156228158)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969062_2	(1, 0.08002100613810538)	(2, 0.0004742355323218971)	(3, 0.014227065969656913)	(4, 4.9919529718094436e-05)	(5, 0.0)	(6, 0.0003993562377447555)	(7, 0.0)	(8, 0.0)	(9, 2.4959764859047218e-05)	(10, 0.0)	(15, 0.0)	(20, 4.991952971809444e-06)	(25, 2.4959764859047218e-05)	(30, 6.489538863352276e-05)	(35, 0.0)	(40, 3.993562377447555e-05)	(45, 2.4959764859047218e-05)	(50, 4.9919529718094436e-05)	(55, 0.00016972640104152107)	(60, 0.0001747183540133305)	(65, 6.489538863352276e-05)	(70, 9.983905943618887e-05)	(75, 0.00018969421292875884)	(80, 0.00022463788373142498)	(85, 0.0002296298367032344)	(90, 0.00011980687132342663)	(95, 0.00021465397778780605)	(100, 0.0002645735075059005)	(105, 0.00032946889613942327)	(110, 0.00023462178967504385)	(115, 0.0001747183540133305)	(120, 0.00016972640104152107)	(125, 0.0003194849901958044)	(130, 0.000394364284772946)	(135, 0.0004692435793500877)	(140, 0.00036940451991389876)	(145, 0.000394364284772946)	(150, 0.0003993562377447555)
SRR15969063_1	(1, 0.07279700815612075)	(2, 0.0)	(3, 0.01449474107623722)	(4, 2.6941897911221597e-05)	(5, 0.11717031401590272)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04368898165283694)	(50, 0.0)	(55, 0.0)	(60, 0.005420709859737785)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0434411161920537)	(110, 0.0)	(115, 0.0)	(120, 0.044050003084847314)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969063_2	(1, 0.1601695830822124)	(2, 0.0)	(3, 0.027157433094511373)	(4, 0.0)	(5, 0.0)	(6, 0.00037718657075710234)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 5.38837958224432e-06)	(120, 2.6941897911221597e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
