Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR15969060_1	(1.0, 3.0590983720756206)	(2.0, 1.3580036947178697)	(3.0, 0.7478278077176808)	(4.0, 0.46159291407921127)	(5.0, 0.3132227592212732)	(6.0, 0.23803611906974706)	(7.0, 0.2109314388711735)	(8.0, 0.18497315428476382)	(9.0, 0.15945285429949435)	('>10', 2.2418297090894925)	('>50', 0.8625688232896562)	('>100', 2.6402182659962175)	('>500', 2.119790159722601)	('>1k', 9.794458418055473)	('>5k', 7.75522198538601)	('>10k+', 67.8527735241237)
SRR15969060_2	(1.0, 4.413851068551226)	(2.0, 1.4122094971218242)	(3.0, 0.7673927766258517)	(4.0, 0.4907923443684386)	(5.0, 0.3486340626802998)	(6.0, 0.25756624448772564)	(7.0, 0.22459021197261236)	(8.0, 0.1907747559387426)	(9.0, 0.16319068994628758)	('>10', 2.2351712157817176)	('>50', 0.916020560436389)	('>100', 2.474042978772634)	('>500', 1.4688648873892827)	('>1k', 9.226632916773575)	('>5k', 8.30805188538612)	('>10k+', 67.10221390376728)
SRR15969061_1	(1.0, 4.923897439828229)	(2.0, 2.3012365879709455)	(3.0, 1.2390294095132075)	(4.0, 0.723173816923771)	(5.0, 0.4857497317968402)	(6.0, 0.36351980919595156)	(7.0, 0.2832554539928037)	(8.0, 0.2336498609797412)	(9.0, 0.2251219476961421)	('>10', 3.0005795326483797)	('>50', 1.0660211717619317)	('>100', 3.013831065692944)	('>500', 2.1243091943164227)	('>1k', 10.56741392713003)	('>5k', 6.632237115017064)	('>10k+', 62.81697393553559)
SRR15969061_2	(1.0, 5.912333427530094)	(2.0, 2.291646384944293)	(3.0, 1.2509697158517419)	(4.0, 0.7198468090331306)	(5.0, 0.4971280352152165)	(6.0, 0.3668156171881144)	(7.0, 0.29610720841230853)	(8.0, 0.2518946413327069)	(9.0, 0.2172093235037717)	('>10', 3.062061769332376)	('>50', 1.1638100107284148)	('>100', 2.708233689930306)	('>500', 1.7138690795726232)	('>1k', 9.459754655701751)	('>5k', 9.496109059503222)	('>10k+', 60.592210572219926)
SRR15969062_1	(1.0, 4.6898879327522245)	(2.0, 2.4170566214173457)	(3.0, 1.3945086875589032)	(4.0, 0.8641140164252146)	(5.0, 0.5471301237809805)	(6.0, 0.40507818450409105)	(7.0, 0.3063530654608768)	(8.0, 0.24186574796627286)	(9.0, 0.22768140817726934)	('>10', 3.256114300126325)	('>50', 1.3680031842853824)	('>100', 4.784607270643342)	('>500', 2.9075666976110126)	('>1k', 11.089367113120371)	('>5k', 6.6837413924663664)	('>10k+', 58.81692425370403)
SRR15969062_2	(1.0, 6.2883609291827725)	(2.0, 2.426275899340936)	(3.0, 1.3738092184434558)	(4.0, 0.8499690571297206)	(5.0, 0.5589626791487887)	(6.0, 0.40376602334187073)	(7.0, 0.30066818832205205)	(8.0, 0.2597526040286423)	(9.0, 0.23615864103128642)	('>10', 3.3102837794764195)	('>50', 1.6285962800702811)	('>100', 4.0095854347513855)	('>500', 1.9077985819677705)	('>1k', 10.957760010394134)	('>5k', 8.862309521090182)	('>10k+', 56.6259431522803)
SRR15969063_1	(1.0, 3.8943604074061438)	(2.0, 1.517063185282712)	(3.0, 0.7920467873445747)	(4.0, 0.4594443506349376)	(5.0, 0.3108572384743615)	(6.0, 0.23859245910935384)	(7.0, 0.1933749705261482)	(8.0, 0.18464518595930773)	(9.0, 0.1456185152332283)	('>10', 2.283765021692417)	('>50', 0.855376813078732)	('>100', 2.77249832743511)	('>500', 2.1519371862541745)	('>1k', 10.678876951769494)	('>5k', 6.885065403114542)	('>10k+', 66.63647719668478)
SRR15969063_2	(1.0, 4.101452113569961)	(2.0, 1.519588054307472)	(3.0, 0.7858397781458462)	(4.0, 0.48191278946413224)	(5.0, 0.31735449070497523)	(6.0, 0.26370223207230525)	(7.0, 0.2182466575224006)	(8.0, 0.17658889096662972)	(9.0, 0.145350103412389)	('>10', 2.2007141318920107)	('>50', 0.9496475438314743)	('>100', 2.3583201581056774)	('>500', 1.5198566498965345)	('>1k', 9.674251270248218)	('>5k', 9.74930858236572)	('>10k+', 65.53786655349425)
SRR15969064_1	(1.0, 5.225174660316605)	(2.0, 2.196666567457088)	(3.0, 1.0843162235129375)	(4.0, 0.5837230054706875)	(5.0, 0.38911645069633727)	(6.0, 0.284581274675299)	(7.0, 0.2193387525354535)	(8.0, 0.2165391748895339)	(9.0, 0.17840850341722184)	('>10', 2.6598871570183302)	('>50', 1.0275028319821076)	('>100', 3.14258410565674)	('>500', 2.2902065914992056)	('>1k', 10.668296386748933)	('>5k', 7.324149443735614)	('>10k+', 62.5095088703879)
SRR15969064_2	(1.0, 6.922211446404848)	(2.0, 2.2512900525140305)	(3.0, 1.1129817589215443)	(4.0, 0.5970156268291654)	(5.0, 0.4004195972331026)	(6.0, 0.32266798510627986)	(7.0, 0.24091590453188366)	(8.0, 0.2165625745033934)	(9.0, 0.19459125700659294)	('>10', 2.81512222910819)	('>50', 1.2143049741215437)	('>100', 2.924656897006232)	('>500', 1.818513131409247)	('>1k', 10.518783155193557)	('>5k', 10.220626855034672)	('>10k+', 58.229336555075726)
