"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS00920","None","Up","Up"
"ATU_RS00925","None","None","Up"
"ATU_RS00930","None","Down","None"
"ATU_RS00935","None","Up","None"
"ATU_RS00940","None","None","None"
"ATU_RS00945","None","None","None"
"ATU_RS00950","None","None","Down"
"ATU_RS00955","None","None","Up"
"ATU_RS00960","None","None","None"
"ATU_RS00965","None","None","None"
"ATU_RS00970","None","None","None"
"ATU_RS00975","None","Down","Down"
"ATU_RS00980","None","None","Up"
"ATU_RS00985","None","None","None"
"ATU_RS00990","None","Up","Up"
"ATU_RS00995","None","None","None"
"ATU_RS01000","None","Down","Down"
"ATU_RS01005","None","None","None"
"ATU_RS01010","None","None","None"
"ATU_RS01015","None","None","None"
"ATU_RS01020","None","None","Down"
"ATU_RS01025","None","Down","None"
"ATU_RS01030","None","None","None"
"ATU_RS01035","None","None","None"
"ATU_RS01040","None","Down","None"
"ATU_RS01045","None","Down","None"
"ATU_RS01050","None","Down","None"
"ATU_RS01055","None","Down","None"
"ATU_RS01060","None","Down","None"
"ATU_RS01065","None","None","None"
"ATU_RS01070","None","Down","None"
"ATU_RS01075","None","Down","Down"
"ATU_RS01080","None","None","Up"
"ATU_RS01085","None","None","None"
"ATU_RS01090","None","None","None"
"ATU_RS01095","None","None","Up"
"ATU_RS01100","None","None","None"
"ATU_RS01105","None","Down","Down"
"ATU_RS01110","None","None","None"
"ATU_RS01115","None","Up","None"
"ATU_RS01120","None","Up","Up"
"ATU_RS01125","None","None","None"
"ATU_RS01130","None","None","None"
"ATU_RS01135","None","Up","None"
"ATU_RS01140","None","None","None"
"ATU_RS01145","None","Down","None"
"ATU_RS01150","None","None","None"
"ATU_RS01155","None","Up","None"
"ATU_RS01160","None","None","None"
"ATU_RS01165","None","None","None"
"ATU_RS01170","None","Up","None"
"ATU_RS01175","None","Up","None"
"ATU_RS01180","None","Up","None"
"ATU_RS01185","None","Up","None"
"ATU_RS01190","None","None","None"
"ATU_RS01195","None","Down","None"
"ATU_RS01200","None","None","None"
"ATU_RS01205","None","None","None"
"ATU_RS01210","None","None","None"
"ATU_RS01215","None","Down","Down"
"ATU_RS01220","None","Down","Down"
"ATU_RS01225","None","Down","Down"
"ATU_RS01230","None","None","None"
"ATU_RS01235","None","Down","Down"
"ATU_RS01240","None","Down","None"
"ATU_RS01245","None","None","None"
"ATU_RS01250","None","Up","Up"
"ATU_RS01255","None","None","None"
"ATU_RS01260","None","Down","None"
"ATU_RS01265","None","Up","None"
"ATU_RS01270","None","Up","Up"
"ATU_RS01275","None","None","None"
"ATU_RS01280","None","None","None"
"ATU_RS01285","None","Down","None"
"ATU_RS01290","None","Up","None"
"ATU_RS01295","None","None","None"
"ATU_RS01300","None","None","None"
"ATU_RS01305","None","None","Up"
"ATU_RS01310","None","Up","Up"
"ATU_RS01315","None","Down","Down"
"ATU_RS01320","None","None","None"
"ATU_RS01325","None","None","None"
"ATU_RS01330","None","None","None"
"ATU_RS01335","None","Down","None"
"ATU_RS01340","None","Down","Down"
"ATU_RS01345","None","None","Down"
"ATU_RS01350","None","None","None"
"ATU_RS01355","None","None","None"
"ATU_RS01360","None","None","None"
"ATU_RS01365","None","Up","None"
