"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS03925","None","Down","None"
"ATU_RS03930","None","None","None"
"ATU_RS03935","None","Up","Up"
"ATU_RS03940","None","None","None"
"ATU_RS03945","None","Up","None"
"ATU_RS03950","None","Up","None"
"ATU_RS03955","None","None","None"
"ATU_RS03960","None","None","None"
"ATU_RS03965","None","None","None"
"ATU_RS03970","None","Down","None"
"ATU_RS03975","None","Up","None"
"ATU_RS03980","None","Up","None"
"ATU_RS03985","None","Up","None"
"ATU_RS03990","None","None","None"
"ATU_RS03995","None","None","None"
"ATU_RS04000","None","None","None"
"ATU_RS04005","None","Down","Down"
"ATU_RS04010","None","None","None"
"ATU_RS04015","None","Down","None"
"ATU_RS04020","None","Down","None"
"ATU_RS04025","None","Down","None"
"ATU_RS04030","None","Up","None"
"ATU_RS04035","Down","Down","Down"
"ATU_RS04040","None","None","None"
"ATU_RS04045","None","None","None"
"ATU_RS04050","None","None","None"
"ATU_RS04055","None","None","None"
"ATU_RS04060","None","None","None"
"ATU_RS04065","None","Down","Down"
"ATU_RS04070","None","Up","Up"
"ATU_RS04075","None","None","None"
"ATU_RS04080","None","None","Up"
"ATU_RS04085","None","Up","Up"
"ATU_RS04090","None","None","None"
"ATU_RS04095","None","Up","None"
"ATU_RS04100","None","Up","Up"
"ATU_RS04105","None","Up","Up"
"ATU_RS04110","None","Down","None"
"ATU_RS04115","None","None","None"
"ATU_RS04120","None","None","None"
"ATU_RS04125","None","None","None"
"ATU_RS04130","None","Up","None"
"ATU_RS04135","None","None","None"
"ATU_RS04140","None","Up","Up"
"ATU_RS04145","None","None","None"
"ATU_RS04150","None","Up","Up"
"ATU_RS04155","None","None","None"
"ATU_RS04160","None","Down","Down"
"ATU_RS04165","None","None","None"
"ATU_RS04170","None","None","None"
"ATU_RS04175","None","Up","Up"
"ATU_RS04180","None","Up","Up"
"ATU_RS04185","None","None","None"
"ATU_RS04190","None","Down","Down"
"ATU_RS04195","None","None","None"
"ATU_RS04200","None","None","None"
"ATU_RS04205","None","None","None"
"ATU_RS04210","None","None","None"
"ATU_RS04215","None","Up","None"
"ATU_RS04220","None","Up","None"
"ATU_RS04225","None","None","None"
"ATU_RS04230","None","None","Up"
"ATU_RS04235","None","None","None"
"ATU_RS04245","None","None","None"
"ATU_RS04250","None","None","None"
"ATU_RS04255","None","None","None"
"ATU_RS04260","None","None","None"
"ATU_RS04265","None","Up","None"
"ATU_RS04270","None","None","Down"
"ATU_RS04275","None","Up","None"
"ATU_RS04280","None","None","None"
"ATU_RS04285","None","None","None"
"ATU_RS04290","None","None","None"
"ATU_RS04295","None","Down","Down"
"ATU_RS04300","None","Up","None"
"ATU_RS04305","None","None","None"
"ATU_RS04310","None","None","None"
"ATU_RS04315","None","Down","None"
"ATU_RS04320","None","Up","None"
"ATU_RS04325","None","Up","None"
"ATU_RS04330","None","None","None"
"ATU_RS04335","None","None","None"
"ATU_RS04340","None","Up","None"
"ATU_RS04345","None","Down","Down"
"ATU_RS04350","None","Down","Down"
"ATU_RS04355","None","None","Down"
"ATU_RS04360","None","None","None"
"ATU_RS04365","None","None","None"
"ATU_RS04370","None","None","None"
"ATU_RS04375","None","None","None"
"ATU_RS04380","None","None","None"
"ATU_RS04385","None","None","None"
"ATU_RS04390","None","Down","None"
"ATU_RS04395","None","None","None"
"ATU_RS04400","None","None","None"
"ATU_RS04405","None","None","None"
"ATU_RS04410","None","None","None"
"ATU_RS04415","None","None","None"
"ATU_RS04420","None","Up","Up"
"ATU_RS04425","None","None","None"
"ATU_RS04430","None","None","Up"
"ATU_RS04435","None","Up","None"
"ATU_RS04440","None","None","None"
"ATU_RS04445","None","None","None"
"ATU_RS04450","None","Down","Down"
"ATU_RS04455","None","Down","None"
"ATU_RS04460","None","Down","Down"
"ATU_RS04465","None","Down","None"
"ATU_RS04470","None","None","None"
"ATU_RS04475","None","None","None"
"ATU_RS04480","None","None","None"
"ATU_RS04485","None","None","None"
"ATU_RS04490","None","None","None"
"ATU_RS04495","None","Up","None"
"ATU_RS04500","None","None","None"
"ATU_RS04505","None","Down","None"
"ATU_RS04510","None","None","None"
"ATU_RS04515","None","Down","None"
"ATU_RS04520","None","Up","Up"
"ATU_RS04525","None","Up","Up"
"ATU_RS04530","None","None","None"
"ATU_RS04535","None","None","None"
"ATU_RS04540","None","None","None"
"ATU_RS04545","None","None","None"
"ATU_RS04550","None","Up","None"
"ATU_RS04555","None","None","None"
"ATU_RS04560","None","None","None"
"ATU_RS04565","None","None","None"
"ATU_RS04570","None","None","None"
"ATU_RS04575","None","Up","None"
"ATU_RS04580","None","Up","Up"
"ATU_RS04585","None","None","None"
"ATU_RS04590","None","None","None"
"ATU_RS04595","None","None","None"
"ATU_RS04600","None","None","None"
"ATU_RS04605","None","Up","None"
"ATU_RS04610","None","None","None"
"ATU_RS04615","None","Down","None"
"ATU_RS04620","None","Up","None"
"ATU_RS04625","None","None","Up"
"ATU_RS04630","None","None","None"
"ATU_RS04635","None","None","None"
"ATU_RS04640","None","Up","Up"
"ATU_RS04645","None","Up","Up"
"ATU_RS04650","None","Down","Down"
"ATU_RS04655","None","Up","Up"
"ATU_RS04660","None","None","None"
"ATU_RS04665","None","None","None"
"ATU_RS04670","None","Up","Up"
"ATU_RS04675","None","Up","Up"
"ATU_RS04680","None","None","None"
"ATU_RS04685","None","Up","Up"
"ATU_RS04690","None","Up","None"
"ATU_RS04695","None","Up","Up"
"ATU_RS04700","None","Up","Up"
"ATU_RS04705","None","Up","Up"
"ATU_RS04710","None","Up","None"
"ATU_RS04715","None","Up","Up"
"ATU_RS04720","None","Up","Up"
"ATU_RS04725","None","Up","Up"
"ATU_RS04730","None","Up","Up"
"ATU_RS04735","None","Up","Up"
"ATU_RS04740","None","Up","Up"
"ATU_RS04745","None","Up","Up"
"ATU_RS04750","None","Up","Up"
"ATU_RS04755","None","Up","Up"
"ATU_RS04760","None","Up","Up"
"ATU_RS04765","None","Up","Up"
"ATU_RS04770","None","Up","Up"
"ATU_RS04775","None","Up","None"
"ATU_RS04780","None","Up","Up"
"ATU_RS04785","None","Up","Up"
"ATU_RS04790","None","Up","Up"
"ATU_RS04795","None","Up","Up"
"ATU_RS04800","None","Up","Up"
"ATU_RS04805","None","Up","Up"
"ATU_RS04810","None","None","None"
"ATU_RS04815","None","None","None"
"ATU_RS04820","None","Up","None"
"ATU_RS04825","None","None","None"
"ATU_RS04830","None","None","None"
"ATU_RS04835","None","None","None"
"ATU_RS04840","None","None","None"
"ATU_RS04845","None","Up","None"
"ATU_RS04850","None","Up","Up"
"ATU_RS04855","None","Up","Up"
"ATU_RS04860","None","Up","Up"
"ATU_RS04865","None","None","None"
"ATU_RS04870","None","Up","Up"
"ATU_RS04875","None","None","None"
"ATU_RS04880","None","None","None"
"ATU_RS04885","None","None","None"
"ATU_RS04890","None","Up","None"
"ATU_RS04895","None","Down","Down"
"ATU_RS04900","None","Up","None"
"ATU_RS04905","None","None","Down"
"ATU_RS04910","None","None","None"
"ATU_RS04915","None","None","None"
"ATU_RS04920","None","Up","None"
"ATU_RS04925","None","Up","None"
"ATU_RS04930","None","None","None"
"ATU_RS04935","None","None","None"
"ATU_RS04940","None","None","None"
"ATU_RS04945","None","None","None"
"ATU_RS04950","None","None","None"
"ATU_RS04955","None","None","None"
"ATU_RS04960","None","None","None"
"ATU_RS04965","None","None","None"
"ATU_RS04970","None","Up","None"
"ATU_RS04975","None","Down","Down"
"ATU_RS04980","None","None","None"
"ATU_RS04985","None","None","None"
"ATU_RS04990","None","None","None"
"ATU_RS04995","None","None","Up"
"ATU_RS05000","Up","None","None"
"ATU_RS05005","Up","None","None"
"ATU_RS05010","None","None","Up"
"ATU_RS05015","None","Down","Down"
"ATU_RS05020","None","None","None"
"ATU_RS05025","None","None","None"
"ATU_RS05030","None","None","None"
"ATU_RS05035","None","None","None"
"ATU_RS05040","None","None","None"
"ATU_RS05045","None","Down","Down"
"ATU_RS05050","None","None","None"
"ATU_RS05055","None","Down","Down"
"ATU_RS05060","None","Down","Down"
"ATU_RS05065","None","Down","Down"
"ATU_RS05070","None","None","Up"
"ATU_RS05080","None","Down","Down"
"ATU_RS05085","None","None","None"
"ATU_RS05090","None","Down","None"
"ATU_RS05095","None","None","None"
"ATU_RS05100","None","Down","None"
"ATU_RS05105","None","None","None"
"ATU_RS05110","None","None","None"
"ATU_RS05115","None","None","None"
"ATU_RS05120","None","None","None"
"ATU_RS05125","None","None","None"
"ATU_RS05130","None","Up","None"
"ATU_RS05135","None","None","None"
"ATU_RS05140","None","None","None"
"ATU_RS05145","None","Down","None"
"ATU_RS05150","None","None","None"
"ATU_RS05155","None","Up","Up"
"ATU_RS05160","None","None","None"
"ATU_RS05165","None","None","None"
"ATU_RS05170","None","Up","None"
"ATU_RS05175","None","None","None"
"ATU_RS05180","None","None","Up"
"ATU_RS05185","None","Up","Down"
"ATU_RS05190","None","None","Down"
"ATU_RS05195","None","None","None"
"ATU_RS05200","None","None","None"
"ATU_RS05205","None","None","None"
"ATU_RS05210","None","None","None"
"ATU_RS05215","None","Up","None"
"ATU_RS05220","None","None","None"
"ATU_RS05225","None","None","Up"
"ATU_RS05230","None","None","None"
"ATU_RS05235","None","None","Up"
"ATU_RS05240","None","None","None"
"ATU_RS05245","None","None","None"
"ATU_RS05250","None","None","None"
"ATU_RS05255","None","Down","None"
"ATU_RS05260","None","None","None"
"ATU_RS05265","None","None","Down"
"ATU_RS05270","None","None","None"
"ATU_RS05275","None","None","None"
"ATU_RS05280","None","None","None"
"ATU_RS05285","None","Up","None"
"ATU_RS05290","None","None","Up"
"ATU_RS05295","None","None","None"
"ATU_RS05300","None","None","None"
"ATU_RS05305","None","None","None"
"ATU_RS05310","None","None","None"
"ATU_RS05315","None","None","None"
"ATU_RS05320","None","None","None"
"ATU_RS05325","None","Down","None"
"ATU_RS05330","None","None","None"
"ATU_RS05335","None","Up","Up"
"ATU_RS05340","None","None","None"
"ATU_RS05345","None","None","None"
"ATU_RS05350","None","Down","None"
"ATU_RS05355","None","Up","None"
"ATU_RS05360","None","Up","None"
"ATU_RS05365","None","Up","None"
"ATU_RS05370","None","None","None"
"ATU_RS05375","None","Up","None"
"ATU_RS05380","None","None","Up"
"ATU_RS05385","None","None","None"
"ATU_RS05390","None","Down","Down"
"ATU_RS05395","None","None","None"
"ATU_RS05400","None","Down","Down"
"ATU_RS05405","None","Down","None"
"ATU_RS05410","None","Down","None"
"ATU_RS05415","None","None","Down"
"ATU_RS05420","None","Down","None"
"ATU_RS05425","None","Down","Down"
"ATU_RS05430","None","Down","Down"
"ATU_RS05435","None","None","None"
"ATU_RS05440","None","None","None"
"ATU_RS05445","None","None","None"
"ATU_RS05450","None","None","None"
"ATU_RS05455","None","Up","Up"
"ATU_RS05460","None","None","None"
"ATU_RS05465","None","Down","None"
"ATU_RS05470","None","Down","None"
"ATU_RS05475","None","None","None"
"ATU_RS05480","None","None","None"
"ATU_RS05485","None","None","None"
"ATU_RS05490","None","None","None"
"ATU_RS05495","None","None","None"
"ATU_RS05500","None","Down","None"
"ATU_RS05505","None","Up","None"
"ATU_RS05510","None","None","None"
"ATU_RS05515","None","None","None"
"ATU_RS05520","None","Up","None"
"ATU_RS05525","None","None","None"
"ATU_RS05530","None","None","None"
"ATU_RS05535","None","None","None"
"ATU_RS05540","None","Down","Down"
"ATU_RS05545","None","None","Up"
"ATU_RS05550","None","Up","Up"
"ATU_RS05555","None","None","Up"
"ATU_RS05560","None","None","Up"
"ATU_RS05565","None","None","None"
"ATU_RS05570","None","None","None"
"ATU_RS05575","None","None","None"
"ATU_RS05580","None","None","None"
"ATU_RS05585","None","None","None"
"ATU_RS05590","None","Down","None"
"ATU_RS05595","None","None","None"
"ATU_RS05600","None","Up","Up"
"ATU_RS05605","None","None","None"
"ATU_RS05610","None","None","None"
"ATU_RS05615","None","None","None"
"ATU_RS05625","None","None","None"
"ATU_RS05630","None","None","Down"
"ATU_RS05635","None","None","None"
"ATU_RS05640","None","Up","None"
"ATU_RS05645","None","None","None"
"ATU_RS05650","None","None","None"
"ATU_RS05655","None","Up","None"
"ATU_RS05660","None","Up","None"
"ATU_RS05665","None","None","None"
"ATU_RS05670","None","None","None"
"ATU_RS05675","None","None","Up"
"ATU_RS05685","None","None","Down"
"ATU_RS05690","None","None","None"
"ATU_RS05695","None","Down","None"
"ATU_RS05700","None","Up","None"
"ATU_RS05705","None","Up","None"
"ATU_RS05710","None","None","None"
"ATU_RS05715","None","Down","None"
"ATU_RS05720","None","Down","None"
"ATU_RS05725","None","None","None"
"ATU_RS05730","None","None","None"
"ATU_RS05735","None","Down","None"
"ATU_RS05740","None","Up","None"
"ATU_RS05745","None","Down","Down"
"ATU_RS05750","None","None","None"
"ATU_RS05755","None","Down","Down"
"ATU_RS05760","None","Down","None"
"ATU_RS05765","None","None","None"
"ATU_RS05770","None","Down","None"
"ATU_RS05775","None","None","Down"
"ATU_RS05780","None","None","None"
"ATU_RS05785","None","Down","None"
"ATU_RS05790","None","None","None"
"ATU_RS05795","None","None","None"
"ATU_RS05800","None","None","None"
"ATU_RS05805","None","None","None"
"ATU_RS05810","None","None","Down"
"ATU_RS05815","None","None","Down"
"ATU_RS05820","None","None","None"
"ATU_RS05825","None","None","None"
"ATU_RS05830","None","None","None"
"ATU_RS05835","None","None","None"
"ATU_RS05840","None","Up","Up"
"ATU_RS05845","None","Up","Up"
"ATU_RS05850","None","Up","Up"
"ATU_RS05855","None","Up","Up"
"ATU_RS05860","None","Up","Up"
"ATU_RS05865","None","Up","Up"
"ATU_RS05870","None","None","Up"
"ATU_RS05875","None","Up","Up"
"ATU_RS05885","None","Up","Up"
"ATU_RS05890","None","None","None"
"ATU_RS05895","None","None","None"
"ATU_RS05900","None","Up","None"
"ATU_RS05905","None","Up","Up"
"ATU_RS05910","None","Up","Up"
"ATU_RS05915","None","None","Up"
"ATU_RS05920","None","Up","None"
"ATU_RS05925","None","Up","None"
"ATU_RS05930","None","Up","Up"
"ATU_RS05935","None","Up","None"
"ATU_RS05940","None","Up","None"
"ATU_RS05945","None","Up","Up"
"ATU_RS05950","None","Up","Up"
"ATU_RS05955","None","Down","None"
"ATU_RS05960","None","None","None"
"ATU_RS05965","None","None","None"
"ATU_RS05970","None","Up","Up"
"ATU_RS05975","None","None","None"
"ATU_RS05980","None","Down","Down"
"ATU_RS05985","None","Down","None"
"ATU_RS05990","None","None","None"
"ATU_RS05995","None","None","None"
"ATU_RS06000","None","None","None"
"ATU_RS06005","None","None","None"
"ATU_RS06010","None","None","None"
"ATU_RS06015","None","None","Down"
"ATU_RS06020","None","None","None"
"ATU_RS06025","None","None","None"
"ATU_RS06030","None","Up","None"
"ATU_RS06035","None","None","None"
"ATU_RS06040","None","Down","None"
"ATU_RS06045","None","Down","None"
"ATU_RS06050","None","None","Up"
"ATU_RS06055","None","None","None"
"ATU_RS06060","None","Up","Up"
"ATU_RS06065","None","None","None"
"ATU_RS06070","None","None","None"
"ATU_RS06075","None","Up","Up"
"ATU_RS06080","None","Down","Down"
"ATU_RS06085","None","None","None"
"ATU_RS06090","None","None","Down"
"ATU_RS06095","None","Down","Down"
"ATU_RS06100","None","None","None"
"ATU_RS06105","None","None","None"
"ATU_RS06110","None","None","None"
"ATU_RS06115","None","None","None"
"ATU_RS06120","None","None","None"
"ATU_RS06125","None","Up","None"
"ATU_RS06130","None","Down","None"
"ATU_RS06135","None","Down","None"
"ATU_RS06140","None","None","None"
"ATU_RS06145","None","Down","Down"
"ATU_RS06150","None","None","None"
"ATU_RS06155","None","Down","None"
"ATU_RS06160","None","Down","Down"
"ATU_RS06165","None","Up","None"
"ATU_RS06170","None","None","Down"
"ATU_RS06175","None","None","None"
"ATU_RS06180","None","Down","None"
"ATU_RS06185","None","None","None"
"ATU_RS06190","None","None","Up"
"ATU_RS06195","None","None","None"
"ATU_RS06200","None","Down","None"
"ATU_RS06205","None","None","Down"
"ATU_RS06210","None","None","None"
"ATU_RS06215","None","Down","None"
"ATU_RS06220","None","None","None"
"ATU_RS06225","None","Down","Down"
"ATU_RS06230","None","None","Down"
"ATU_RS06235","None","None","None"
"ATU_RS06240","None","Up","Up"
"ATU_RS06245","None","Up","Up"
"ATU_RS06250","None","Down","Down"
"ATU_RS06255","None","Down","Down"
"ATU_RS06260","None","Down","Down"
"ATU_RS06265","None","Down","Down"
"ATU_RS06270","None","Down","Down"
"ATU_RS06275","None","Down","Down"
"ATU_RS06280","None","Down","Down"
"ATU_RS06285","None","Down","Down"
"ATU_RS06290","None","Down","None"
"ATU_RS06295","None","Down","Down"
"ATU_RS06300","None","Down","None"
"ATU_RS06305","None","Down","Down"
"ATU_RS06310","None","Down","None"
"ATU_RS06315","None","Down","Down"
"ATU_RS06320","None","Down","Down"
"ATU_RS06325","None","Down","Down"
"ATU_RS06330","None","None","None"
"ATU_RS06335","None","None","None"
"ATU_RS06340","None","None","None"
"ATU_RS06345","None","Down","None"
"ATU_RS06350","None","Down","None"
"ATU_RS06355","None","None","None"
"ATU_RS06360","None","None","None"
"ATU_RS06365","None","None","Up"
"ATU_RS06370","None","Up","None"
"ATU_RS06375","None","None","None"
"ATU_RS06380","None","None","None"
"ATU_RS06385","None","None","None"
"ATU_RS06390","None","Down","Down"
"ATU_RS06395","None","None","None"
"ATU_RS06400","None","None","None"
"ATU_RS06405","None","Down","Down"
"ATU_RS06410","None","Down","Down"
"ATU_RS06415","None","None","None"
"ATU_RS06420","None","Up","None"
"ATU_RS06425","None","Up","None"
"ATU_RS06430","None","None","None"
"ATU_RS06435","None","None","None"
"ATU_RS06440","None","Down","Down"
"ATU_RS06445","None","Down","None"
"ATU_RS06450","None","None","None"
"ATU_RS06455","None","Up","Up"
"ATU_RS06460","None","Down","None"
"ATU_RS06465","None","None","None"
"ATU_RS06470","None","None","None"
"ATU_RS06475","None","None","None"
"ATU_RS06480","None","None","None"
"ATU_RS06485","None","None","None"
"ATU_RS06490","None","None","None"
"ATU_RS06495","None","None","None"
"ATU_RS06500","None","Down","None"
"ATU_RS06505","None","Down","Down"
"ATU_RS06510","None","None","None"
"ATU_RS06515","None","None","None"
"ATU_RS06520","None","None","None"
"ATU_RS06525","None","None","None"
"ATU_RS06530","None","None","None"
"ATU_RS06535","None","None","None"
"ATU_RS06540","None","None","None"
"ATU_RS06545","None","Down","Down"
"ATU_RS06550","None","None","None"
"ATU_RS06555","None","None","None"
"ATU_RS06560","None","Down","Down"
"ATU_RS06565","None","Down","Down"
"ATU_RS06570","None","Down","None"
"ATU_RS06575","None","None","Up"
"ATU_RS06580","None","None","None"
"ATU_RS06585","None","Up","None"
"ATU_RS06590","None","None","None"
"ATU_RS06595","None","None","None"
"ATU_RS06600","None","None","Up"
"ATU_RS06605","None","Down","None"
"ATU_RS06610","None","None","Up"
"ATU_RS06615","None","None","None"
"ATU_RS06620","None","Down","None"
"ATU_RS06625","None","Down","None"
"ATU_RS06630","None","None","None"
"ATU_RS06635","None","None","Down"
"ATU_RS06640","None","None","None"
"ATU_RS06645","None","None","None"
"ATU_RS06650","None","None","None"
"ATU_RS06655","None","None","Up"
"ATU_RS06660","None","None","None"
"ATU_RS06665","None","None","None"
"ATU_RS06670","None","None","None"
"ATU_RS06675","None","Down","Down"
"ATU_RS06680","None","None","None"
"ATU_RS06685","None","Down","None"
"ATU_RS06690","None","None","None"
"ATU_RS06695","None","None","None"
"ATU_RS06700","None","None","None"
"ATU_RS06705","None","Down","None"
"ATU_RS06710","None","None","None"
"ATU_RS06715","None","None","None"
"ATU_RS06720","None","None","Down"
"ATU_RS06725","None","None","None"
"ATU_RS06730","None","None","None"
"ATU_RS06735","None","None","Down"
"ATU_RS06740","None","None","None"
"ATU_RS06745","None","Up","Up"
"ATU_RS06750","None","Down","None"
"ATU_RS06755","None","None","None"
"ATU_RS06760","None","None","None"
"ATU_RS06765","None","Down","Down"
"ATU_RS06770","Down","Down","Down"
"ATU_RS06775","None","None","Up"
"ATU_RS06780","None","Down","Down"
"ATU_RS06785","None","Down","Down"
"ATU_RS06790","None","Down","Down"
"ATU_RS06795","None","Down","Down"
"ATU_RS06800","None","None","None"
"ATU_RS06805","None","None","None"
"ATU_RS06810","None","None","Up"
"ATU_RS06815","None","Down","Down"
"ATU_RS06820","None","None","None"
"ATU_RS06825","None","Down","Down"
"ATU_RS06830","None","None","None"
"ATU_RS06835","None","None","None"
"ATU_RS06840","None","None","None"
"ATU_RS06845","None","None","None"
"ATU_RS06850","None","None","Down"
"ATU_RS06855","None","None","Down"
"ATU_RS06860","None","None","Down"
"ATU_RS06865","None","None","Down"
"ATU_RS06870","None","Down","Down"
"ATU_RS06875","None","Up","None"
"ATU_RS06880","None","None","Down"
"ATU_RS06885","None","Down","None"
"ATU_RS06890","None","None","None"
"ATU_RS06895","None","None","None"
"ATU_RS06900","None","None","None"
"ATU_RS06905","None","Up","None"
"ATU_RS06910","None","None","None"
"ATU_RS06915","None","None","None"
"ATU_RS06920","None","None","None"
"ATU_RS06925","None","Up","Up"
"ATU_RS06930","None","Up","Up"
"ATU_RS06935","None","Up","Up"
"ATU_RS06940","None","None","Up"
"ATU_RS06945","None","Up","Up"
"ATU_RS06950","None","Up","None"
"ATU_RS06955","None","None","None"
"ATU_RS06960","None","Up","None"
"ATU_RS06965","None","Up","None"
"ATU_RS06970","None","Up","None"
"ATU_RS06975","None","Up","None"
"ATU_RS06980","None","Up","Up"
"ATU_RS06985","None","Up","Up"
"ATU_RS06990","Up","Up","Up"
"ATU_RS06995","None","None","None"
"ATU_RS07000","None","Up","Up"
"ATU_RS07005","None","Up","Up"
"ATU_RS07010","None","Up","Up"
"ATU_RS07015","None","None","None"
"ATU_RS07020","None","None","None"
"ATU_RS07025","None","Up","None"
"ATU_RS07030","None","None","Down"
"ATU_RS07035","None","Down","Down"
"ATU_RS07040","None","None","None"
"ATU_RS07045","None","None","None"
"ATU_RS07050","None","Down","Down"
"ATU_RS07055","None","Down","Down"
"ATU_RS07060","None","Down","Down"
"ATU_RS07065","None","Down","None"
"ATU_RS07070","None","Down","Down"
"ATU_RS07075","None","Down","Down"
"ATU_RS07080","None","Down","Down"
"ATU_RS07085","None","Up","None"
"ATU_RS07090","None","None","None"
"ATU_RS07095","None","None","None"
"ATU_RS07100","None","None","None"
"ATU_RS07105","None","None","None"
"ATU_RS07110","None","None","None"
"ATU_RS07115","None","None","None"
"ATU_RS07120","None","Up","None"
"ATU_RS07125","None","None","Down"
"ATU_RS07130","None","None","None"
"ATU_RS07135","None","None","None"
"ATU_RS07140","None","None","None"
"ATU_RS07145","None","Down","Down"
"ATU_RS07150","None","None","None"
"ATU_RS07155","None","None","None"
"ATU_RS07160","None","None","Up"
"ATU_RS07165","None","Down","None"
"ATU_RS07170","None","Down","None"
"ATU_RS07175","None","Down","None"
"ATU_RS07180","None","Down","None"
"ATU_RS07185","None","Down","None"
"ATU_RS07190","None","None","None"
"ATU_RS07195","None","None","Down"
"ATU_RS07200","None","None","None"
"ATU_RS07205","None","Down","Down"
"ATU_RS07210","None","Down","Down"
"ATU_RS07215","None","None","None"
"ATU_RS07220","None","Down","Down"
"ATU_RS07225","None","Down","None"
"ATU_RS07230","None","Down","Down"
"ATU_RS07235","None","Down","None"
"ATU_RS07240","None","Down","Down"
"ATU_RS07245","None","Down","Down"
"ATU_RS07250","None","None","None"
"ATU_RS07255","None","None","Up"
"ATU_RS07260","None","None","None"
"ATU_RS07265","None","None","None"
"ATU_RS07270","None","Down","None"
"ATU_RS07275","None","None","None"
"ATU_RS07280","None","None","None"
"ATU_RS07285","None","None","None"
"ATU_RS07290","None","Down","Down"
"ATU_RS07295","None","Down","None"
"ATU_RS07300","None","Up","None"
"ATU_RS07305","None","Up","None"
"ATU_RS07310","None","None","Up"
"ATU_RS07315","None","None","Up"
"ATU_RS07320","None","None","Up"
"ATU_RS07325","None","None","Up"
"ATU_RS07330","None","None","None"
"ATU_RS07335","None","Down","Down"
"ATU_RS07340","None","Down","Down"
"ATU_RS07345","None","None","Down"
"ATU_RS07355","None","None","Down"
"ATU_RS07360","None","None","None"
"ATU_RS07365","None","None","None"
"ATU_RS07370","None","Down","None"
"ATU_RS07375","None","Down","None"
"ATU_RS07380","None","None","None"
"ATU_RS07385","None","None","None"
"ATU_RS07390","None","None","None"
"ATU_RS07395","None","None","None"
"ATU_RS07400","None","None","None"
"ATU_RS07405","None","None","None"
"ATU_RS07410","None","None","None"
"ATU_RS07415","None","None","Down"
"ATU_RS07420","None","None","Down"
"ATU_RS07425","None","None","None"
"ATU_RS07430","None","Down","None"
"ATU_RS07435","None","Down","None"
"ATU_RS07440","None","None","None"
"ATU_RS07445","None","None","None"
"ATU_RS07450","None","Up","None"
"ATU_RS07455","None","None","None"
"ATU_RS07460","None","None","None"
"ATU_RS07465","None","None","None"
"ATU_RS07470","None","None","None"
"ATU_RS07475","None","None","None"
"ATU_RS07480","None","None","None"
"ATU_RS07485","None","None","None"
"ATU_RS07490","None","None","None"
"ATU_RS07495","None","None","None"
"ATU_RS07500","None","None","None"
"ATU_RS07505","None","Down","Down"
"ATU_RS07510","None","None","None"
"ATU_RS07515","None","None","None"
"ATU_RS07520","None","Up","Up"
"ATU_RS07525","None","None","None"
"ATU_RS07530","None","Up","Up"
"ATU_RS07535","None","Down","None"
"ATU_RS07540","None","Down","Down"
"ATU_RS07545","None","Down","None"
"ATU_RS07550","None","Down","Down"
"ATU_RS07555","None","Down","None"
"ATU_RS07560","None","None","None"
"ATU_RS07565","None","None","None"
"ATU_RS07570","None","Down","Down"
"ATU_RS07575","None","Down","Down"
"ATU_RS07580","None","Down","Down"
"ATU_RS07585","None","Down","Down"
"ATU_RS07590","None","Down","Down"
"ATU_RS07595","None","Up","Up"
"ATU_RS07600","None","None","None"
"ATU_RS07605","None","None","None"
"ATU_RS07610","None","Up","Up"
"ATU_RS07620","None","Up","None"
"ATU_RS07625","None","Up","Up"
"ATU_RS07630","None","None","None"
"ATU_RS07635","None","None","None"
"ATU_RS07640","None","Up","Up"
"ATU_RS07645","None","Up","Up"
"ATU_RS07650","None","None","None"
"ATU_RS07655","None","Up","None"
"ATU_RS07660","None","Up","None"
"ATU_RS07665","None","None","None"
"ATU_RS07670","None","Down","Down"
"ATU_RS07675","None","None","Down"
"ATU_RS07680","None","None","Up"
"ATU_RS07685","None","None","None"
"ATU_RS07690","None","None","None"
"ATU_RS07695","None","None","None"
"ATU_RS07700","None","Down","None"
"ATU_RS07705","None","Down","None"
"ATU_RS07710","None","Down","None"
"ATU_RS07715","None","Up","Up"
"ATU_RS07720","None","Up","Up"
"ATU_RS07725","None","Up","None"
"ATU_RS07730","None","None","None"
"ATU_RS07735","None","None","None"
"ATU_RS07740","None","None","None"
"ATU_RS07745","None","None","None"
"ATU_RS07750","None","Down","Down"
"ATU_RS07755","None","Down","Down"
"ATU_RS07760","None","None","Down"
"ATU_RS07765","None","None","None"
"ATU_RS07770","None","None","Down"
"ATU_RS07775","None","Down","Down"
"ATU_RS07780","None","Down","Down"
"ATU_RS07785","None","Up","None"
"ATU_RS07790","None","None","Up"
"ATU_RS07795","None","Up","Up"
"ATU_RS07800","None","Up","Up"
"ATU_RS07805","None","Down","None"
"ATU_RS07810","None","None","None"
"ATU_RS07815","None","None","None"
"ATU_RS07820","None","Up","Up"
"ATU_RS07825","None","None","None"
"ATU_RS07830","None","None","None"
"ATU_RS07835","None","None","None"
"ATU_RS07840","None","None","Down"
"ATU_RS07845","None","Down","None"
"ATU_RS07850","None","Down","Down"
"ATU_RS07855","None","Down","Down"
"ATU_RS07860","None","Down","Down"
"ATU_RS07865","None","None","None"
"ATU_RS07870","None","None","None"
"ATU_RS07875","None","None","Up"
"ATU_RS07880","None","None","None"
