Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu0013	ATU_RS00065	Atu0013	67.2004874975812	-1.07040647414288	0.397725931592172	-2.69131678152803	0.00711705792100589	0.0254158727911784
trxA	ATU_RS00110	Atu0022	2749.64951816197	-1.50808826524728	0.333584129912948	-4.5208633445507	6.15879378407006e-06	6.68457727087605e-05
Atu0025	ATU_RS00125	Atu0025	47.0114817273937	-1.28828979751637	0.466379780851707	-2.76231914506173	0.00573923480824616	0.021483235114301
hisA	ATU_RS00195	Atu0040	35.5494586387649	-1.53133345376575	0.532607057865845	-2.87516552991581	0.00403815732320378	0.0161623832960112
hslV	ATU_RS00215	Atu0044	1927.67390690779	-1.6507031726621	0.417716618380733	-3.95172971346223	7.75883448437646e-05	0.000585268076203875
hslU	ATU_RS00220	Atu0045	1655.9163301526	-2.20215964220266	0.461211473015323	-4.77472866796941	1.79949708471601e-06	2.35402631792717e-05
Atu0048	ATU_RS00235	Atu0048	171.260850580947	-1.20883737610189	0.39972832375697	-3.02414741277339	0.00249334915459089	0.010910597400943
pnpA	ATU_RS00395	Atu0082	1025.13676149108	-1.35131385805418	0.415512372736969	-3.25216274344158	0.00114530424375398	0.00583730168954871
rpsO	ATU_RS00400	Atu0084	1109.93479427523	-1.52563371442845	0.526766469375634	-2.89622404447411	0.00377682651301201	0.0153299158583798
rbfA	ATU_RS00410	Atu0086	9.43056111641548	-4.59038000237347	1.2634324159446	-3.63326122113268	0.000279861433192509	0.00176100149924046
infB	ATU_RS00415	Atu0087	1075.76385566649	-1.28482613714598	0.326578326910068	-3.93420515470945	8.34724650084668e-05	0.000619315856055356
Atu0088	ATU_RS00420	Atu0088	45.3033624432965	-1.48174223315905	0.514813350944326	-2.87821252195786	0.00399935610073647	0.0160588038584499
nusA	ATU_RS00425	Atu0089	668.249202934653	-1.9616031038314	0.413078335216702	-4.74874360767998	2.04684233672418e-06	2.60893673227074e-05
mltB	ATU_RS00440	Atu0092	84.6271962176767	-1.33053347816294	0.414582267439078	-3.20933523370838	0.00133042274429222	0.00658062832027526
pheA	ATU_RS00480	Atu0099	26.4430594791736	-2.72898907149034	0.887619737947326	-3.07450246408591	0.00210853979651112	0.00956345924129266
cycM	ATU_RS00490	Atu0101	366.71855992288	-1.30502710396452	0.283506980068185	-4.60315687342388	4.16134538144477e-06	4.78843701184304e-05
Atu0111	ATU_RS00535	Atu0111	15.9737169919115	-2.74393949346823	0.993844578091971	-2.76093420838112	0.00576362858200114	0.021525918618428
dnaJ	ATU_RS00580	Atu0121	1199.97688996508	-1.01301959953677	0.366854814466586	-2.76136378640614	0.00575605216652795	0.021525918618428
msrA	ATU_RS00600	Atu0125	1356.83872075176	-1.51718189430286	0.396962426776212	-3.82197858528856	0.000132385188577389	0.000937445544755273
