Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mltA	ATU_RS00045	Atu0009	76.5543462025477	1.09573532528056	0.276847431931852	3.95790315855372	7.56105990709184e-05	0.00030311313546898
depA	ATU_RS00075	Atu0015	123.742214229911	1.46865107626006	0.311198707021466	4.71933540571799	2.36616407951237e-06	1.3936257866417e-05
uvrD	ATU_RS00115	Atu0023	76.5920733994265	1.99138470686288	0.4368804130948	4.55819177782814	5.15959141916659e-06	2.80616290423163e-05
Atu0024	ATU_RS00120	Atu0024	139.991795595806	3.02404202866118	0.396430417397371	7.62817860575507	2.38093553217305e-14	8.70266950767075e-13
actS	ATU_RS00250	Atu0051	35.8477834243913	1.34690279462146	0.351443611885813	3.83248620566499	0.000126854714445699	0.000474131417676368
hrpB	ATU_RS00255	Atu0052	95.5191489811314	1.45939925157893	0.320245111995926	4.55713201204924	5.18568337540431e-06	2.81727126329343e-05
recQ	ATU_RS00295	Atu0061	29.8593583268571	1.60246886736413	0.399163536618923	4.01456726467976	5.95549582689367e-05	0.00024568273656007
frcB	ATU_RS00305	Atu0063	2247.71326937594	1.17744127181704	0.415438524443144	2.83421301237117	0.00459386994170278	0.0112659731032089
nrdI	ATU_RS00330	Atu0069	75.8757557167052	1.12199530905904	0.370151671456441	3.03117720539882	0.00243602234358388	0.00652801459296791
Atu0091	ATU_RS00435	Atu0091	46.6792059995954	1.50288300964217	0.351664651015224	4.27362547046876	1.92319979669737e-05	8.92644835609957e-05
Atu0102	ATU_RS00495	Atu0102	31.502134644333	1.71304298459559	0.388934841290771	4.4044472305707	1.06053951639532e-05	5.24571336915537e-05
Atu0109	ATU_RS00520	Atu0109	27.6305028421863	1.08073345402499	0.459419841651305	2.35238741570343	0.0186533355877513	0.0380647500848571
Atu0113	ATU_RS00545	Atu0113	217.239470802533	1.85111697735752	0.335088611084324	5.52426109430407	3.3087511772187e-08	2.97428609438592e-07
dctD	ATU_RS00550	Atu0114	35.4015317913242	2.06466447361709	0.389127893594197	5.30587631368885	1.1213297564028e-07	8.94723951697963e-07
ATU_RS00555	ATU_RS00555	ATU_RS00555	21.2694742005561	1.94436237394353	0.565408956833299	3.43886022753049	0.000584168761048752	0.00184952267754599
Atu0117	ATU_RS00560	Atu0117	5.24043739178226	4.21949720877112	0.868366705142691	4.85911906085548	1.17909214651218e-06	7.44760744639394e-06
Atu0118	ATU_RS00565	Atu0118	31.6812453464603	2.28183083644834	0.441150550350565	5.17245379074118	2.31039647409551e-07	1.70400309684403e-06
deoA	ATU_RS00640	Atu0133	29.7540596017796	2.44848499694306	0.48554635296738	5.04274202036393	4.58907769167802e-07	3.1727823651365e-06
