Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
maf	ATU_RS00010	Atu0002	16.4277657271214	-1.3860946918799	0.572747486463868	-2.42007992114923	0.0155170962820431	0.0324507722414962
secB	ATU_RS00030	Atu0006	152.536606243527	-1.51248709903885	0.310119621268569	-4.8771086874539	1.07652125290597e-06	6.83446634507736e-06
Atu0013	ATU_RS00065	Atu0013	67.2004874975812	-1.75959193860943	0.453281006097204	-3.88190088475073	0.000103643122067491	0.000395099662421394
hpcE	ATU_RS00070	Atu0014	165.947563311787	-1.11573109687989	0.310116616972562	-3.59777914441329	0.000320945963601317	0.00108821541075175
trpA	ATU_RS00095	Atu0019	173.917698992891	-1.37501747545791	0.353781934254785	-3.88662433641299	0.000101647873126301	0.000388265200361971
accD	ATU_RS00100	Atu0020	288.683175504724	-1.33422903365521	0.299657323506072	-4.45251602078122	8.48699056832197e-06	4.34871045190691e-05
folC	ATU_RS00105	Atu0021	129.232754204217	-1.02091158282169	0.397735501711171	-2.56681030088951	0.0102638745870148	0.0225659975993147
trxA	ATU_RS00110	Atu0022	2749.64951816197	-1.43109190009916	0.334673124151316	-4.27608850793802	1.90205629369544e-05	8.83656246351406e-05
ahcY	ATU_RS00140	Atu0029	953.740093742449	-1.01319154838217	0.333303834632674	-3.039843659461	0.00236700984978868	0.00637400106354253
Atu0031	ATU_RS00150	Atu0031	24.4656431197394	-1.37797387165443	0.514148458970016	-2.6801089210982	0.00735982077113921	0.0168986924033871
hisF	ATU_RS00190	Atu0039	33.5668511056353	-1.94932991039745	0.574888016790162	-3.39079934433382	0.000696891033271088	0.00216380095339824
hisH	ATU_RS00200	Atu0041	47.7841557345409	-1.16995571718978	0.429693086353439	-2.72277063407869	0.00647369858254244	0.0150941630646428
Atu8115	ATU_RS00205	Atu8115	10.2093319966722	-2.09374859435185	0.897048929385596	-2.33404056987828	0.0195935976904958	0.0396740424111832
hisB	ATU_RS00210	Atu0043	48.539749589622	-1.99762667133016	0.558635113076027	-3.57590603342238	0.000349017009170143	0.00116990124921428
hslV	ATU_RS00215	Atu0044	1927.67390690779	-1.1150448261719	0.418375745059144	-2.66517559715195	0.00769481319105398	0.0175514401451294
hslU	ATU_RS00220	Atu0045	1655.9163301526	-1.57678572430566	0.460952675677137	-3.42071064451327	0.000624577463476394	0.00196256293991223
Atu0048	ATU_RS00235	Atu0048	171.260850580947	-2.67235053180355	0.399638242784331	-6.68692393697095	2.27910257997868e-11	4.13096565772331e-10
nrdF	ATU_RS00340	Atu0071	135.630837192208	-1.04640390664035	0.403183194252373	-2.59535596115485	0.00944929999570979	0.0210073659564729
pnpA	ATU_RS00395	Atu0082	1025.13676149108	-3.08536854466551	0.422692610709667	-7.29931980472862	2.89226124894843e-13	8.07720824074306e-12
rpsO	ATU_RS00400	Atu0084	1109.93479427523	-3.70129792648371	0.53879638981667	-6.86956705063133	6.43970443687484e-12	1.37981770498728e-10
rbfA	ATU_RS00410	Atu0086	9.43056111641548	-3.60512771013355	1.26627063676938	-2.84704359830317	0.00441273185014648	0.0108970144198103
infB	ATU_RS00415	Atu0087	1075.76385566649	-1.3826249765354	0.324989777566816	-4.25436451228419	2.09643551379091e-05	9.60575637190346e-05
nusA	ATU_RS00425	Atu0089	668.249202934653	-2.18571068976919	0.415153564960996	-5.26482457154027	1.4032328514681e-07	1.08652188545918e-06
Atu0090	ATU_RS00430	Atu0090	134.984907027224	-1.48587934384666	0.545949953641857	-2.72164020517785	0.00649588233641211	0.0151387862608085
mltB	ATU_RS00440	Atu0092	84.6271962176767	-1.83454766738904	0.418883493473526	-4.37961317639027	1.18890162724238e-05	5.8300921727842e-05
Atu0098	ATU_RS00475	Atu0098	74.0435104338562	-1.34329875446085	0.343679551337579	-3.90857922513228	9.28405025501313e-05	0.000360165854670552
cycM	ATU_RS00490	Atu0101	366.71855992288	-2.44350150443001	0.29087747991517	-8.40044923774306	4.44773783099655e-17	2.63210770927189e-15
cspA	ATU_RS00510	Atu0106	255.374603540513	-2.1359435121637	0.420575011547414	-5.07862676934839	3.8017272402956e-07	2.67303905396173e-06
Atu0108	ATU_RS00515	Atu0108	350.450582407405	-1.27438798592012	0.245475725061842	-5.19150309302098	2.08603121582987e-07	1.55234448710932e-06
rpmF	ATU_RS00540	Atu0112	120.515806958327	-2.282838415558	0.612453107245118	-3.72736849328182	0.000193489461826476	0.000691470966742927
msrA	ATU_RS00600	Atu0125	1356.83872075176	-1.3405052374123	0.397653962031432	-3.37103453103868	0.000748864704955336	0.00230074564173855
upp	ATU_RS00650	Atu0135	57.2328747331546	-3.11056099430399	0.499755347052645	-6.22416751046052	4.84119628140649e-10	6.40042199863609e-09
cyoD	ATU_RS00670	Atu0139	71.7799955443133	-3.03351091632431	0.61029510950477	-4.97056402563324	6.67584113173444e-07	4.41297955662924e-06
cyoC	ATU_RS00675	Atu0140	116.46468574345	-2.10170741142635	0.537849108614366	-3.90761531025099	9.3211559422381e-05	0.000361149385727713
cyoB	ATU_RS00680	Atu0141	771.185250259924	-2.71640929561079	0.600721844645448	-4.52190863346087	6.12845133243711e-06	3.26872656368507e-05
cyoA	ATU_RS00685	Atu0142	770.169761436981	-2.54781766380497	0.50040407975432	-5.0915205668504	3.55203334192656e-07	2.51168673438363e-06
fabB	ATU_RS00720	Atu0150	597.448596024834	-1.70367355399748	0.328742829055815	-5.18239001255363	2.19060547772675e-07	1.62287627865569e-06
fabA	ATU_RS00725	Atu0151	322.264270088905	-1.39674742947097	0.349492868895931	-3.99649765067706	6.42865193900596e-05	0.00026237133652544
Atu8116	ATU_RS00740	Atu8116	9.79552661492041	-2.19103962705627	0.829343646558686	-2.64189595730053	0.00824433772876723	0.0186572302936533
phnI	ATU_RS00855	Atu0179	283.852961389977	-1.80625470633439	0.480227144173255	-3.76125075029647	0.000169065839007593	0.00061434670007803
aau3	ATU_RS00960	Atu0201	1235.58701261942	-1.00707497974853	0.381645768567844	-2.63876888646679	0.0083207685046538	0.0188011546530155
