Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
fxsA	ATU_RS00035	Atu0007	281.004195649925	1.55655747940395	0.236973472598547	6.56848828831101	5.08286295189106e-11	4.20945766799111e-08
chvI	ATU_RS00165	Atu0034	405.742868607459	1.31985538551209	0.188685679627034	6.99499499973176	2.65268389808563e-12	4.39372876319584e-09
hslV	ATU_RS00215	Atu0044	1927.67390690779	1.37625849543599	0.436050052282555	3.15619385488387	0.00159842587129594	0.0150713057959574
hslU	ATU_RS00220	Atu0045	1655.9163301526	1.66157951035492	0.5328497949173	3.11828873015295	0.00181904505046403	0.0164641800651289
Atu0075	ATU_RS00360	Atu0075	28.3012757861377	1.94413819067651	0.402628988327969	4.82860958111856	1.37489668241557e-06	9.488696687393e-05
Atu0113	ATU_RS00545	Atu0113	217.239470802533	1.40086399109452	0.459281492928217	3.05012070519782	0.00228749411514857	0.0189564091889074
dnaJ	ATU_RS00580	Atu0121	1199.97688996508	1.28149880544589	0.331143797377062	3.86991637951983	0.000108872689498686	0.00252649457142189
dnaK	ATU_RS00585	Atu0122	25911.5668741239	1.50189021027594	0.300296659453893	5.00135503674005	5.69287644094322e-07	5.43998135289363e-05
Atu0126	ATU_RS00605	Atu0126	1290.58065956123	1.16253846388147	0.336744921279344	3.45228209965222	0.000555866241438043	0.00736559827654836
Atu0157	ATU_RS00750	Atu0157	685.391101582204	1.55844077527177	0.534119475178148	2.91777560582673	0.00352537947445562	0.0254987053982096
Atu0212	ATU_RS01015	Atu0212	192.618563868965	1.12068128081988	0.293943995853026	3.81256734830614	0.000137530737008699	0.00292047107776166
Atu0236	ATU_RS01125	Atu0236	2781.09548497389	1.14086010273132	0.328636132748078	3.47149929373673	0.00051756069313202	0.00698847577220926
Atu0265	ATU_RS01270	Atu0265	125.958569500718	1.33962426700647	0.461351476332389	2.90369563278759	0.00368786487609927	0.0262535824775606
tspO	ATU_RS01360	Atu0284	104.607338720056	1.68562629117096	0.3608006876329	4.67190431988871	2.98419973974597e-06	0.00016850555121361
Atu0300	ATU_RS01435	Atu0300	335.810941151761	1.27749254436078	0.247805616609544	5.15522029661528	2.53332923145765e-07	2.99716975026502e-05
phoH	ATU_RS01715	Atu0357	876.379836086591	1.07263093145643	0.216305703106579	4.95886569818235	7.0905962162994e-07	6.12728496424887e-05
Atu0377	ATU_RS01815	Atu0377	6346.2958189487	3.25719613278855	0.709838040456532	4.58864691260232	4.46128283987045e-06	0.000235831004588471
Atu0403	ATU_RS01940	Atu0403	17.519921561226	1.96686481867809	0.497143020700397	3.95633597733522	7.61081021130382e-05	0.00196969353854004
Atu0496	ATU_RS02445	Atu0496	1189.48298046811	1.61616346886684	0.505522629316483	3.19701507932901	0.00138857667301801	0.0137173707519413
Atu0538	ATU_RS02650	Atu0538	409.20867373845	1.85434269921833	0.270311041400667	6.86003312927844	6.88445803573862e-12	8.5522179948963e-09
Atu0597	ATU_RS02940	Atu0597	210.164150837806	1.29953649522039	0.36203207527784	3.5895617652747	0.000331234343545609	0.00506256943325696
Atu0726	ATU_RS03580	Atu0726	574.834843452832	1.68897575155165	0.546226372665175	3.09208019984592	0.00198759142096071	0.0173269153872873
Atu0730	ATU_RS03595	Atu0730	2486.00750368041	1.04918315865938	0.31315783499645	3.35033341468616	0.000807143422234085	0.00948155003565288
coxG	ATU_RS03800	Atu0770	29.566722927067	1.21833128709383	0.331427316084825	3.67601349667271	0.000236906994482924	0.0040592788123643
qor	ATU_RS04055	Atu0825	1357.00251028127	1.07646679317	0.332126125543045	3.24113856267681	0.00119053300153054	0.0121723425609162
tam	ATU_RS04285	Atu0870	226.780017475773	1.28381184723722	0.253217574102503	5.06999504985989	3.97826049217903e-07	4.29302877829801e-05
Atu0875	ATU_RS04310	Atu0875	49.9253649429384	1.37000154521584	0.36678670263959	3.73514507302633	0.000187607004915416	0.00346549891235949
Atu0888	ATU_RS04370	Atu0888	533.019783196579	1.21408946676014	0.319068857323364	3.80510174808349	0.000141745910785413	0.00298447216395219
Atu0898	ATU_RS04420	Atu0898	70.3928532148263	1.54460103993728	0.395577358676232	3.90467504284413	9.4352079679354e-05	0.00224323198051057
Atu0900	ATU_RS04430	Atu0900	106.822836953786	1.09526931418964	0.384058619631294	2.85182849233049	0.00434685469595545	0.0289537814801644
Atu0937	ATU_RS04625	Atu0937	2429.4370069941	1.39323873001391	0.503018153162691	2.76975835017885	0.00560978954810844	0.0344160227069568
Atu0945	ATU_RS04665	Atu0945	1252.63329439773	1.30191797724082	0.298418161122116	4.36273037922803	1.28449208229742e-05	0.000531886763077989
Atu8142	ATU_RS04810	Atu8142	398.049743521352	1.29474817503873	0.265537990730743	4.87594325571141	1.08289737016208e-06	7.91311328284615e-05
dop	ATU_RS04850	Atu0977	20622.4137594999	3.44947501895266	0.752129027830119	4.58628093228145	4.51211370283885e-06	0.000235894841766169
ragA	ATU_RS04855	Atu0978	1019.27417666144	3.30099162385828	0.72193827599075	4.57240145541275	4.8216600637787e-06	0.000246998235638313
ragB	ATU_RS04860	Atu0979	245.877474143383	2.53697493240143	0.659288132910156	3.8480518695263	0.000119060848380441	0.00264150310419653
ATU_RS05000	ATU_RS05000	ATU_RS05000	17.5506171688009	1.75419984330219	0.493958499635606	3.55131016997635	0.000383318393859649	0.00555395491708086
ATU_RS05005	ATU_RS05005	ATU_RS05005	19.4040147391124	1.63498731568633	0.571104125267201	2.86285327552374	0.00419844932805271	0.0283749810860139
smpB	ATU_RS05085	Atu1025	433.256481176029	1.4256605967283	0.288657222981489	4.93893962535532	7.85485250328439e-07	6.2210439590873e-05
recO	ATU_RS05150	Atu1039	189.128986969891	1.14692865539286	0.225038656192014	5.09658507031897	3.45835191007184e-07	3.8897113455148e-05
Atu8089	ATU_RS05660	Atu8089	59.4859602049517	1.59456849542093	0.486503824715691	3.27760731655661	0.00104690925924085	0.0110682810833357
cya	ATU_RS05675	Atu1149	27.9706417641237	1.15543257104773	0.415671571670528	2.77967667214816	0.00544130458569701	0.0337551092213838
Atu1160	ATU_RS05730	Atu1160	2904.50898868673	1.47463709702604	0.303076578591115	4.86555940376869	1.14133522849545e-06	8.21926775419403e-05
Atu1203	ATU_RS05945	Atu1203	120.465416167535	1.31693546685496	0.466636997360634	2.82218399806217	0.004769780261629	0.030838412368382
acpD	ATU_RS05970	Atu1208	276.167077102002	1.55386652352544	0.326104685657519	4.76493160591177	1.88917719205093e-06	0.000118826854016469
clpP	ATU_RS06210	Atu1258	1360.07127346458	1.01521074818118	0.336980581302253	3.01266839845169	0.00258961714228745	0.0205884921280422
lon	ATU_RS06220	Atu1261	11584.0883334915	1.03794968241891	0.376847415181148	2.75429693983697	0.00588183764023509	0.0356425015052783
fabG	ATU_RS06600	Atu1338	603.948390979417	1.21489073573664	0.4560917730043	2.66369798282941	0.00772869172579115	0.043101985617796
Atu1356	ATU_RS06690	Atu1356	196.415114054011	1.38883653001556	0.240737031165235	5.76910217465591	7.96949764427045e-09	2.31329502191668e-06
Atu1357	ATU_RS06695	Atu1357	347.643059049758	1.0117030779925	0.265318801733085	3.81316013559526	0.000137201151840096	0.00292047107776166
Atu1369	ATU_RS06755	Atu1369	100.05202983175	1.06722850507614	0.295446403128112	3.61225756609859	0.000303542845136151	0.00481602053622386
Atu1370	ATU_RS06760	Atu1370	104.456327072143	1.44395698311492	0.277585002382031	5.20185518210257	1.97308951889374e-07	2.39128824862999e-05
Atu1405	ATU_RS06935	Atu1405	803.591298992706	1.60425523819621	0.540488560991565	2.96815761512711	0.00299590663425061	0.0226898188160936
ntrY	ATU_RS07130	Atu1447	350.617222486922	1.39570568481557	0.221217236111863	6.30920858314041	2.80465922108909e-10	1.16136263913264e-07
ntrX	ATU_RS07135	Atu1448	207.872144929201	1.26941737329434	0.323341401649898	3.92593514723738	8.63934322483151e-05	0.00210435767079352
trkA	ATU_RS07140	Atu1449	56.6340137002817	1.2423108475102	0.309559956411474	4.01315099637401	5.99135603509707e-05	0.00166622720661534
manA	ATU_RS07520	Atu1523	125.601828211479	1.12811038659299	0.428469081560357	2.63288632749123	0.00846626773285917	0.0456194310610478
Atu1525	ATU_RS07530	Atu1525	2903.54552499762	2.72297851107754	0.662733098639773	4.10871060562136	3.97874272083632e-05	0.00121290629324145
cysE	ATU_RS07740	Atu1571	954.576935117785	1.18514472071386	0.254018939727862	4.6655762046072	3.0775341204017e-06	0.000171823225216585
ATU_RS07800	ATU_RS07800	ATU_RS07800	81.142045066474	2.38264955158463	0.730901808417672	3.25987639398899	0.00111460777658079	0.0115385125871458
Atu1630	ATU_RS08005	Atu1630	94.5682458911884	1.39159394466631	0.42217898517973	3.29621793958759	0.000979959622986735	0.0106575385396404
Atu1634	ATU_RS08025	Atu1634	230.833927689746	2.73889420574798	0.451221034527915	6.06996127433094	1.27941097641604e-09	4.5409951012938e-07
Atu8018	ATU_RS08045	Atu8018	16.0561492623864	1.97732146809505	0.525322743906455	3.76401267797984	0.000167208400722868	0.00331019339917104
Atu8161	ATU_RS08175	Atu8161	2896.66264407444	1.13085227909142	0.3281180210067	3.4464802500693	0.00056794007659165	0.00750556978878699
Atu1683	ATU_RS08250	Atu1683	358.825801783336	1.32610598861166	0.389968708146311	3.40054461014376	0.000672517615156389	0.00835435007428025
tatA	ATU_RS08355	Atu1706	133.927766119126	1.2219682979058	0.405356339245598	3.01455331913639	0.00257357970753373	0.0205101811773705
Atu1713	ATU_RS08390	Atu1713	1537.35704437219	1.19409111106492	0.259705870499936	4.59785952765057	4.26853622481196e-06	0.000228068349474093
Atu1722	ATU_RS08430	Atu1722	27.1182993854126	1.14559991300946	0.373573268942976	3.0666003385385	0.00216508128515096	0.0183275790560735
Atu1741	ATU_RS08520	Atu1741	62.5735372664493	1.42855345453063	0.374411289449175	3.81546575861077	0.000135926304769473	0.00292047107776166
Atu1752	ATU_RS08580	Atu1752	215.437094395415	1.48252520417705	0.314021252353115	4.72109831123773	2.34574516451894e-06	0.000140433827981863
Atu1815	ATU_RS08885	Atu1815	207.315363309422	1.28444288660484	0.33472715055554	3.83728324539279	0.000124402955648566	0.00270866812696974
Atu1816	ATU_RS08890	Atu1816	45.6939380496977	1.08353727547191	0.343679942958901	3.15275097564097	0.00161739719097581	0.0151925267333814
Atu1817	ATU_RS08895	Atu1817	85.0527843506891	1.00271009539478	0.37568111238588	2.66904580064395	0.00760670767967039	0.042565011779597
Atu1819	ATU_RS08905	Atu1819	94.280937123412	1.15163475250219	0.385954317259848	2.98386285889591	0.00284634316323472	0.0217927260063379
