Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu0031	ATU_RS00150	Atu0031	24.4656431197394	-1.28940479030029	0.379815458747349	-3.39481914336192	0.000686739491129279	0.00848857843637161
Atu0048	ATU_RS00235	Atu0048	171.260850580947	-1.87547877615261	0.528229058136621	-3.55050284959434	0.000384495973329808	0.00555395491708086
Atu0066	ATU_RS00320	Atu0066	39.8651986271093	-1.08412640961727	0.322775185382652	-3.35876628289139	0.000782912516513945	0.00926260070132808
nrdH	ATU_RS00325	Atu0068	191.458632343354	-2.10415463404341	0.325827142071872	-6.4578862910668	1.06175468465972e-10	5.84000097738784e-08
nrdI	ATU_RS00330	Atu0069	75.8757557167052	-2.5867901979476	0.340710429197204	-7.59234228327763	3.14173775995516e-14	1.56112949292172e-10
nrdE	ATU_RS00335	Atu0070	397.426616026162	-1.15353679650302	0.239185348331393	-4.82277365461693	1.41575596673789e-06	9.63683753249394e-05
gltB	ATU_RS00695	Atu0145	563.905999088619	-1.15198910061836	0.434472780501494	-2.65146437778834	0.00801435665387733	0.0441011497376705
Atu0148	ATU_RS00710	Atu0148	9.38295901793372	-1.41059975590615	0.443569250234354	-3.18011168529126	0.00147218300573235	0.0142122292849596
Atu8116	ATU_RS00740	Atu8116	9.79552661492041	-1.63754675023129	0.541333050301979	-3.02502636651834	0.00248611453154631	0.020054388161126
phnD	ATU_RS00825	Atu0173	322.664712081532	-2.67849406591142	0.929275617694009	-2.88234622205852	0.00394725753576971	0.0274320597136219
Atu0175	ATU_RS00835	Atu0175	21.3157635046666	-1.85265171869296	0.572194047471161	-3.23780320134549	0.00120453868974533	0.0122399851724838
phnI	ATU_RS00855	Atu0179	283.852961389977	-1.37255844051216	0.45900941134565	-2.99026208741192	0.00278738171717973	0.0215069871935809
Atu0203	ATU_RS00970	Atu0203	15.3255870519881	-1.05289153658326	0.384107536130826	-2.74113740956295	0.00612268962715937	0.0366992095987394
Atu0204	ATU_RS00975	Atu0204	36.0816311300055	-1.86313848034527	0.483979627807238	-3.84962170574528	0.000118300391349073	0.00264150310419653
Atu0215	ATU_RS01030	Atu0215	33.2392169738316	-1.99136154395136	0.495054086544027	-4.02251309115143	5.75804527141145e-05	0.00162566630418429
ctpH	ATU_RS01040	Atu0217	16.5007736393252	-1.89122095778627	0.463253714102461	-4.08247338383558	4.45589166066942e-05	0.00132582788394409
ctpF	ATU_RS01050	Atu0219	50.614815790624	-1.55658301327895	0.538506188694581	-2.89055733426636	0.00384559376808526	0.0270279426218043
ctpE	ATU_RS01055	Atu0220	20.7652752675222	-1.87365743702036	0.634091083221361	-2.95487113223806	0.00312799677614168	0.0233028725347047
ctpD	ATU_RS01060	Atu0221	72.1435946387351	-2.02442155014587	0.581496929111348	-3.48139680331523	0.000498805947423789	0.00682134019049064
ctpB	ATU_RS01070	Atu0223	47.4054061554018	-2.35961938308073	0.598445943851165	-3.9429114815215	8.04983725726859e-05	0.00203021508063979
ctpA	ATU_RS01075	Atu0224	448.532571742884	-2.65637326910068	0.845093541034138	-3.14328904448859	0.00167060784673249	0.0154874074448017
Atu0252	ATU_RS01205	Atu0252	85.2613660236006	-1.60507536575953	0.236455626548188	-6.7880616299584	1.13650104496389e-11	1.12945473848512e-08
Atu0257	ATU_RS01230	Atu0257	27.4957962870586	-1.12993275593325	0.331856989827612	-3.40487857893308	0.000661934785867114	0.00825160586265167
Atu0309	ATU_RS01480	Atu0309	49.1863291738865	-2.22075207807234	0.599004942874677	-3.70740192462312	0.00020939646972413	0.0037840750925759
Atu0340	ATU_RS01630	Atu0340	65.7017648466179	-1.48172411128939	0.383430737750747	-3.86438531240707	0.000111369301583158	0.00254918650664012
barA	ATU_RS01645	Atu0343	84.8052752169927	-1.40606754809265	0.25392195872337	-5.5374003696327	3.06994224125552e-08	6.35605958199945e-06
Atu0363	ATU_RS01745	Atu0363	19.7289304509556	-1.53199458415306	0.28412243574938	-5.39202256278141	6.96690173648328e-08	1.03116470234653e-05
truA	ATU_RS01770	Atu0368	21.6618905566558	-1.67558318040377	0.646265922826077	-2.59271473432571	0.00952217162688422	0.0498584518587858
Atu0373	ATU_RS01795	Atu0373	113.82136640924	-2.16385449705961	0.501510163105341	-4.31467726129629	1.59836238465933e-05	0.000630338308680335
Atu0396	ATU_RS01905	Atu0396	402.917838335252	-1.48574119894285	0.529301539588828	-2.80698446503103	0.00500076532846785	0.0317708606991412
dcd	ATU_RS02085	Atu0434	54.2166564359558	-1.03184428441201	0.368570600376274	-2.79958380662646	0.00511685321820454	0.0321639999117625
Atu0436	ATU_RS02095	Atu0436	135.173570689806	-1.08423365068317	0.298713008948852	-3.62968340246884	0.000283769051867826	0.00463547390868849
Atu0478	ATU_RS02350	Atu0478	76.3250714393215	-1.52416003411357	0.407254621334119	-3.74252360628984	0.000182181412294297	0.00342399639282402
Atu0480	ATU_RS02360	Atu0480	49.5560364892001	-1.52103826462455	0.427248871692757	-3.56007555642734	0.000370748105812157	0.00549924578441973
exoQ	ATU_RS02370	Atu0481	77.9792544990844	-2.15248610133256	0.722174135322109	-2.98056382256406	0.0028771827671784	0.0219274864572231
Atu0482	ATU_RS02375	Atu0482	120.58487150645	-1.64035130839165	0.482896530842115	-3.39690017141161	0.000681538254312458	0.0084452957248843
Atu0492	ATU_RS02425	Atu0492	56.5370609149762	-3.34523085289386	0.723628919416517	-4.62285401140576	3.78496105943649e-06	0.000206675511036702
Atu0493	ATU_RS02430	Atu0493	69.5862534374192	-2.95327956955452	0.702455451614389	-4.20422328955847	2.61980217542729e-05	0.000885564422428451
phaE	ATU_RS02505	Atu0509	9.61366805390057	-1.11841646162771	0.40840450413349	-2.73850178024027	0.00617198262744415	0.0369056337855234
Atu0514	ATU_RS02530	Atu0514	50.7257110626323	-1.71165138454487	0.588420081417412	-2.9088935585301	0.00362710328759172	0.0259572723108578
