Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu0075	ATU_RS00360	Atu0075	28.3012757861377	1.50790442535148	0.396520076125752	3.80284509194249	0.000143043806184029	0.00515061357194523
Atu0538	ATU_RS02650	Atu0538	409.20867373845	1.01888612596369	0.268294486092275	3.79764094597629	0.000146079716146426	0.00516211361457197
Atu0597	ATU_RS02940	Atu0597	210.164150837806	1.04752337377188	0.362239357363351	2.89179889616782	0.00383043045137006	0.0456436664576927
Atu0691	ATU_RS03400	Atu0691	41.2227650417585	1.07908464651702	0.343559687654596	3.14089424717924	0.00168432839644074	0.0270855268670358
Atu0804	ATU_RS03970	Atu0804	305.409245546102	1.43036993531402	0.499671531883815	2.86262042970784	0.00420153556959165	0.0492392222766531
tam	ATU_RS04285	Atu0870	226.780017475773	1.15350034869017	0.254136009013624	4.53890951214367	5.65458931807945e-06	0.000413200798846129
Atu0937	ATU_RS04625	Atu0937	2429.4370069941	1.53987141632357	0.503187452891586	3.06023412840412	0.00221164026297179	0.0317619666667828
Atu8142	ATU_RS04810	Atu8142	398.049743521352	1.3074205867758	0.266648761614049	4.90315641768544	9.43088275873455e-07	8.84189743927396e-05
glnE	ATU_RS04870	Atu0981	177.669910628542	1.47390308653534	0.440017353166936	3.34964763531989	0.00080914422111516	0.0167685400866901
ATU_RS05000	ATU_RS05000	ATU_RS05000	17.5506171688009	1.72537068230494	0.498260966290274	3.46278516487237	0.000534615070251426	0.0123844486892074
ATU_RS05005	ATU_RS05005	ATU_RS05005	19.4040147391124	1.69168255024224	0.578665255758459	2.92342167325208	0.00346207316540847	0.0430076038972867
acpD	ATU_RS05970	Atu1208	276.167077102002	1.25587875841049	0.326088907660071	3.85133848134347	0.000117473998464929	0.00456216314215747
trkA	ATU_RS07140	Atu1449	56.6340137002817	1.01914839138522	0.309779344712272	3.28991719035308	0.00100216871530315	0.0192269357001596
Atu1525	ATU_RS07530	Atu1525	2903.54552499762	2.57252823587846	0.662794389839329	3.88133676946493	0.00010388386757532	0.00412959150385413
Atu1634	ATU_RS08025	Atu1634	230.833927689746	1.91427498253433	0.448064915691684	4.27231616556997	1.93453022553431e-05	0.00115815430008192
Atu1851	ATU_RS09055	Atu1851	166.183559402906	1.27675520703159	0.257377403072243	4.96063442940722	7.02633158037987e-07	7.12527380059339e-05
Atu1877	ATU_RS09180	Atu1877	2007.0171353907	1.36600104793364	0.340393329784648	4.01300768378113	5.99499610963945e-05	0.00273294822649527
Atu2064	ATU_RS10085	Atu2064	145.30550025227	1.54290123942822	0.298551719936776	5.16795294214	2.36671877407843e-07	2.67277854281721e-05
murF	ATU_RS10245	Atu2098	130.002854252289	1.04399868401474	0.221918050782152	4.70443337229741	2.54571983981606e-06	0.000204027127162033
Atu2160	ATU_RS10545	Atu2160	1830.98072297062	1.3883612674128	0.29166681692303	4.76009332175482	1.93503465772081e-06	0.000168687494986223
Atu2163	ATU_RS10560	Atu2163	2354.08676013098	1.37476181076421	0.35058346612058	3.92135381048283	8.80528625309e-05	0.00364612228263369
Atu2272	ATU_RS11085	Atu2272	3459.41734732415	2.12466207433988	0.611365112601851	3.47527529874535	0.000510329330992378	0.0120753640271482
Atu2298	ATU_RS11215	Atu2298	65.8628099225836	2.73318176273708	0.777428863098119	3.51566798259216	0.000438649166047863	0.0110083217479385
Atu2307	ATU_RS11260	Atu2307	411.22642643594	1.07364602041878	0.350304265191151	3.06489565530389	0.00217745950989996	0.0314523512322922
dat	ATU_RS12235	Atu2511	16.0387805064468	1.42692816379177	0.4434023355167	3.21813407258886	0.00129027490698235	0.0231577624602219
dppB	ATU_RS12265	Atu2517	10.928761731395	1.67164613856687	0.549734396589149	3.04082507650726	0.00235930854369946	0.0329985255825139
Atu8180	ATU_RS12565	Atu8180	29.2008815599292	1.24240609644455	0.390499441549775	3.18158226171544	0.00146472919460188	0.0251842192663555
redB	ATU_RS12615	Atu2591	23.8912013377345	1.17481013047794	0.279396757443249	4.20480946603887	2.61302187784714e-05	0.00147546655807073
Atu2680	ATU_RS13050	Atu2680	115.874724053003	1.0251064965449	0.335226799174177	3.0579491230123	0.00222857409204407	0.0319129241019221
Atu2681	ATU_RS13055	Atu2681	240.185684410217	1.34850429154074	0.377118902336876	3.5758066837396	0.000349149595682872	0.00957011238842124
Atu2710	ATU_RS13200	Atu2710	225.752802322957	1.23222390137146	0.331609364500586	3.71588993943891	0.000202489716480138	0.00621093457524571
chvA	ATU_RS13285	Atu2728	1737.10338113859	1.77998188823952	0.301781698435753	5.89824332444886	3.67391920861267e-09	7.60654356149847e-07
Atu2737	ATU_RS13320	Atu2737	14.0562041355194	1.85933752434526	0.601193911167766	3.09274177566712	0.00198316615428644	0.0303210849866133
Atu3277	ATU_RS15135	Atu3277	9.92189124118257	1.82865844348237	0.589148511511599	3.10390064262493	0.00190987456852438	0.0292906380586348
Atu3295	ATU_RS15225	Atu3295	1302.68597883653	1.47503525507279	0.311422439156147	4.73644500078302	2.17499731248214e-06	0.000180126027428729
celB	ATU_RS15280	Atu3308	67.8264764533404	1.89330668136229	0.661247379404966	2.86323506199149	0.00419339341124615	0.0492392222766531
Atu3401	ATU_RS15740	Atu3401	46.516532393218	1.56370098619749	0.528922111712013	2.95639178542964	0.00311261434558327	0.0400688618735837
Atu3911	ATU_RS18225	Atu3911	32.3827919775098	1.35460973446269	0.382501805300452	3.54144664336592	0.00039793933354354	0.0104071607809361
