Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
cysK	ATU_RS01495	Atu0312	381.679181145537	-1.39347098637011	0.317873271708002	-4.3837312237128	1.16663697237594e-05	0.00644372487742311
flaB	ATU_RS02675	Atu0543	537.229557545974	-2.27363093737318	0.392273007007834	-5.79604228880263	6.7898149255756e-09	3.37521699950363e-05
flaA	ATU_RS02685	Atu0545	950.78799388202	-2.24413941472782	0.474307962488156	-4.73139730346369	2.22979617081951e-06	0.00277107919128594
Atu0820	ATU_RS04035	Atu0820	725.913581362014	-1.65574437226526	0.433854514538488	-3.81635851830781	0.000135435675347773	0.0292717713979904
nuoB	ATU_RS06255	Atu1269	286.919257884881	-1.01244366479852	0.259529641812625	-3.90107140643873	9.57678947286021e-05	0.0247049947065167
Atu1804	ATU_RS08835	Atu1804	50.5988463998615	-3.11735340336386	0.835216554678548	-3.73238938560509	0.000189671996371266	0.0349207219985764
Atu2275	ATU_RS11100	Atu2275	39.2009641966147	-1.42107143906578	0.346743728872192	-4.09833349744467	4.16135419559833e-05	0.0147757797902281
Atu3212	ATU_RS14825	Atu3212	141.176458776161	-1.10827596535736	0.260747542204449	-4.25037933622544	2.1340877902831e-05	0.0106085504054973
Atu3357	ATU_RS15525	Atu3357	178.696652141188	-1.41519181320462	0.367598040485931	-3.84983502995245	0.000118197407434456	0.0267072414707582
Atu3420	ATU_RS15835	Atu3420	254.064237709696	-2.70531719657589	0.697208958974229	-3.88021003137438	0.000104366302320831	0.0247049947065167
Atu3504	ATU_RS16225	Atu3504	201.348986835592	-1.85239395839571	0.461365715222838	-4.01502300079019	5.94399978351577e-05	0.0176906764715025
Atu4488	ATU_RS21045	Atu4488	54.7172718437146	-1.41134356463633	0.338750355220498	-4.16632349718914	3.0955135423474e-05	0.0128231648491741
blcB	ATU_RS24600	Atu5138	81.9194868156496	-1.7235072067449	0.327716616725487	-5.25913889861923	1.4473153940364e-07	0.000359730241187748
potF	ATU_RS25890	Atu5420	78.03250559483	-1.19146427228309	0.321582118405126	-3.70500784742671	0.000211384188210396	0.0371082248325975
Atu5516	ATU_RS26350	Atu5516	247.472541032751	-1.56391707199173	0.370868568156008	-4.21690379362066	2.47679579885676e-05	0.0111928653782881
Atu5526	ATU_RS26390	Atu5526	332.549344912795	-3.17570170577824	0.709590683992106	-4.47539937800757	7.62686117356264e-06	0.0054161609848257
