"User_ID","ensembl_ID","symbol","ND0_3","ND0_2","CD0_2","CD0_1","ND0_1","CD4_3","CD4_2","CD4_1","CD3_3","CD3_2","CD3_1","CD0_3","ND4_3","ND4_2","ND4_1","ND3_3","ND3_2","ND3_1"
"ATU_RS04285","ATU_RS04285","ATU_RS04285",8.75100456029894,8.45022868042268,8.13291381580214,8.20368438681096,8.56243220140419,7.92388728505547,7.95019292891729,7.61909596167985,7.71295488575312,8.2115184233119,7.26059686769762,8.4760895128121,6.84278696491801,7.09453936769763,6.83912741240038,7.06753365546671,6.97384242593686,6.68310868729056
"ATU_RS12090","ATU_RS12090","ATU_RS12090",6.1849876704282,6.46024778088578,6.1513745183848,6.77993968354834,5.64178251927832,7.05102858653851,7.52032793120872,6.84691364179091,6.3352749181165,6.78575974825546,7.40139815419024,6.91025230146064,6.42850270720872,8.31660562674445,7.60336440864532,7.76583683984561,7.16517470363284,7.57818666750215
"ATU_RS03015","ATU_RS03015","ATU_RS03015",3.62129625633287,3.25341664254519,2.87853050174352,2.65580866642043,3.07316410471404,2,3.29177463313266,2.94556733545474,4.16618283014212,4.11203281535953,4.30159304302638,3.84736940698926,4.58831628783397,3.87427455225112,3.61368023013258,3.93276692848462,2.89300739767655,4.12945511272726
"ATU_RS23800","ATU_RS23800","ATU_RS23800",2.29950691764368,2.91131679750743,2.35558078210057,2.25318202320615,2.4127412789705,4.0222276274392,2,2,2,4.11203281535953,2,2.57260495454287,3.23448567073306,3.54579246155932,2.93786835582252,2.71406907975884,3.24565943260734,3.17233727452503
"ATU_RS12215","ATU_RS12215","ATU_RS12215",3.8692091630845,3.707001201029,3.92410202563526,4.48645450888445,3.86777902966794,4.83273015231495,5.04289845136321,2.94556733545474,3.45637056450416,4.93470517656819,4.7855563394904,4.08679842144454,3.02476471828573,3.69580885624179,3.33694566003189,3.26839463338072,3.96862420959753,3.04325932392089
"ATU_RS11125","ATU_RS11125","ATU_RS11125",4.9646480255446,4.49964255132162,5.07155073087488,5.01753333973691,5.10733566332201,5.34856044594488,3.29177463313266,5.80356240719444,5.28108346638161,4.93470517656819,6.73037475088336,5.08244700446707,5.63928885983296,4.45395718250595,4.87451398430608,4.98487789237054,5.33409028305701,5.34513104949968
"ATU_RS06170","ATU_RS06170","ATU_RS06170",8.74170350264617,8.89508471031747,8.87543586428592,8.58143366990287,8.78095349778966,8.15842632811664,7.7704786653238,7.02157601043319,7.68876696911567,8.47669758022639,7.85761448889498,8.53538766231475,9.32277435687942,9.37396212754233,9.53240368290176,8.22945443160584,9.07542729222208,7.74831591910632
"ATU_RS05800","ATU_RS05800","ATU_RS05800",6.95392086097942,6.86712368553886,6.81309133362916,6.66464115482002,7.19615789941683,5.72774852694921,6.59530342765426,7.24936358571602,6.3352749181165,6.13873254410584,4.30159304302638,6.56902328667304,6.34621772318801,6.11411493831458,6.78025051653675,5.77403877084038,6.68753941215316,6.34944596968826
"ATU_RS21020","ATU_RS21020","ATU_RS21020",5.47921026093289,5.23727985626722,5.80702266987986,5.48118857492838,5.61603267111876,5.34856044594488,3.96220865969801,4.90335122547221,6.66780124731517,6.38805171149359,6.88228275587504,5.5901644524121,4.97167397451633,5.18668492354367,4.9476850883181,5.38933010320595,5.34629920062498,5.13945674873913
"ATU_RS09885","ATU_RS09885","ATU_RS09885",5.14479787944527,5.11689802583399,5.20871492330776,4.75595323210834,4.93059680027856,4.83273015231495,3.29177463313266,5.07168869294701,5.90239882382955,5.83713588866723,6.14588759844216,4.8422310485228,5.93787279027212,5.59589463984197,5.62876045412432,5.61723604277291,5.73784059030088,6.03834463407932
"ATU_RS13290","ATU_RS13290","ATU_RS13290",3.67440424910491,3.17519275194827,3.49403339741358,2.9702386750186,3.6311887998181,2,3.96220865969801,2,3.45637056450416,2,2.98732422083281,4.08679842144454,3.5010543134139,3.83168486180348,2.81809768193733,3.93276692848462,3.61207112553276,3.6423580711973
"ATU_RS00035","ATU_RS00035","ATU_RS00035",8.42856197092968,8.76092461862681,8.60211526576646,9.11819235766926,8.55736748783746,7.81038898490458,7.95019292891729,7.50606278782411,7.26677469446555,7.71442409935681,6.97533867025718,8.58015238875015,8.12603380787874,7.21541826223324,8.33524433081627,6.99984397369154,7.35839340275247,7.09493521257206
"ATU_RS20405","ATU_RS20405","ATU_RS20405",3.67440424910491,3.65030128424478,3.86997219307607,4.09124620123319,3.57883110627531,5.11357768698747,4.76408309074215,4.23382194713413,5.72347112340068,5.99580103754349,4.7855563394904,4.14092432798811,4.03698946752487,4.24264551485979,4.07208339048836,4.02645907093674,4.33001425123762,4.67826013382207
"ATU_RS14050","ATU_RS14050","ATU_RS14050",4.36542007184431,4.09470877189017,3.343267438304,3.44704826947651,4.37722453501292,4.48366306045631,5.04289845136321,2,3.85449721647002,3.41223954931064,3.56803659117512,2.72212378581554,3.37391803325975,3.64751611027311,3.81482231142102,3.546597239207,3.80133473198648,3.81045567582871
"ATU_RS09225","ATU_RS09225","ATU_RS09225",3.9575604096117,3.52974387687848,4.25497419674356,3.80480866298301,3.68171270636883,4.83273015231495,3.96220865969801,4.49306587344732,4.639814225019,5.45536007718777,5.78372483582008,4.8422310485228,3.41755357024665,3.78779953913526,3.9057694248119,3.72488061525898,3.4853190211102,4.03075680542551
"ATU_RS01175","ATU_RS01175","ATU_RS01175",4.75874931997452,5.65256916648071,5.48565487691414,6.08083959143979,5.64178251927832,5.88552299170473,5.95260409441555,5.59828817504355,7.05602723107903,6.13873254410584,6.56056860119504,5.23953738487304,5.16328511165172,5.64591649300086,6.43316988714778,5.61723604277291,5.21929544121764,4.09730012247362
"ATU_RS21265","ATU_RS21265","ATU_RS21265",3.99978653129464,3.17519275194827,3.81373197360286,3.80480866298301,4.57729417740453,5.11357768698747,3.96220865969801,3.51191945960586,3.85449721647002,2,3.56803659117512,3.84736940698926,3.41755357024665,3.5975506602023,3.57725100907198,2.46910933777869,3.69078018879181,3.55034399487641
"ATU_RS08840","ATU_RS08840","ATU_RS08840",8.83065961080513,9.00233239071157,8.97013754039299,8.42917780313404,9.02061113662361,9.19426438578021,9.20239147366861,9.86673785045416,8.41940928123797,8.70062001685613,7.52967142526519,9.38629199164263,10.496056366673,10.1396257887605,9.41022625642495,9.26014720616752,9.68893254896766,9.11905134205117
