GeneID	old	Name
ATU_RS00815	Atu0171	phnE
ATU_RS00820	Atu0172	phnE
ATU_RS00825	Atu0173	phnD
ATU_RS00830	Atu0174	phnC
ATU_RS00835	Atu0175	Atu0175
ATU_RS00840	Atu0176	phnL
ATU_RS00845	Atu0177	phnK
ATU_RS00850	Atu0178	phnJ
ATU_RS00855	Atu0179	phnI
ATU_RS00860	Atu0180	phnH
ATU_RS00865	Atu0181	phnG
ATU_RS00870	Atu0182	Atu0182
ATU_RS00875	Atu0183	dapB
ATU_RS00880	Atu0184	glk
ATU_RS00885	Atu0185	mgsA
ATU_RS00890	Atu0186	mepA
ATU_RS00895	Atu0187	Atu0187
ATU_RS00900	Atu0188	Atu0188
ATU_RS00905	Atu0189	Atu0189
ATU_RS00910	Atu0190	Atu0190
ATU_RS00915	Atu0192	dadA
ATU_RS00920	Atu0193	glnA
ATU_RS00925	Atu0194	ordL
ATU_RS00930	Atu0195	gntK
ATU_RS00935	Atu0196	Atu0196
ATU_RS00940	Atu0197	Atu0197
ATU_RS00945	Atu0198	Atu0198
ATU_RS00950	Atu0199	Atu0199
ATU_RS00955	Atu0200	Atu0200
ATU_RS00960	Atu0201	aau3
ATU_RS00965	Atu0202	Atu0202
ATU_RS00970	Atu0203	Atu0203
ATU_RS00975	Atu0204	Atu0204
ATU_RS00980	Atu0205	mmsA
ATU_RS00985	Atu0206	Atu0206
ATU_RS00990	Atu0207	Atu0207
ATU_RS00995	Atu0208	Atu0208
ATU_RS01000	Atu0209	Atu0209
ATU_RS01005	Atu0210	Atu0210
ATU_RS01010	Atu0211	Atu0211
ATU_RS01015	Atu0212	Atu0212
ATU_RS01020	Atu0213	pncB
ATU_RS01025	Atu0214	Atu0214
ATU_RS01030	Atu0215	Atu0215
ATU_RS01035	Atu0216	ctpI
ATU_RS01040	Atu0217	ctpH
ATU_RS01045	Atu0218	ctpG
ATU_RS01050	Atu0219	ctpF
ATU_RS01055	Atu0220	ctpE
ATU_RS01060	Atu0221	ctpD
ATU_RS01065	Atu0222	ctpC
ATU_RS01070	Atu0223	ctpB
ATU_RS01075	Atu0224	ctpA
ATU_RS01080	Atu0226	Atu0226
ATU_RS01085	Atu0227	Atu0227
ATU_RS01090	Atu0228	Atu0228
ATU_RS01095	Atu0229	Atu0229
ATU_RS01100	Atu0231	guaA
ATU_RS01105	Atu0232	Atu0232
ATU_RS01110	Atu0233	Atu0233
ATU_RS01115	Atu0234	Atu0234
ATU_RS01120	Atu0235	Atu0235
ATU_RS01125	Atu0236	Atu0236
ATU_RS01130	Atu0237	Atu0237
ATU_RS01135	Atu0238	Atu0238
ATU_RS01140	Atu0239	Atu0239
ATU_RS01145	Atu0240	Atu0240
ATU_RS01150	Atu0241	lepA
ATU_RS01155	Atu0242	Atu0242
ATU_RS01160	Atu0243	Atu0243
ATU_RS01165	Atu8117	Atu8117
ATU_RS01170	Atu0245	Atu0245
ATU_RS01175	Atu0246	Atu0246
ATU_RS01180	Atu0247	Atu0247
ATU_RS01185	Atu0248	Atu0248
ATU_RS01190	Atu0249	Atu0249
ATU_RS01195	Atu0250	Atu0250
ATU_RS01200	Atu0251	Atu0251
ATU_RS01205	Atu0252	Atu0252
ATU_RS01210	Atu0253	Atu0253
ATU_RS01215	Atu0254	infC
ATU_RS01220	Atu0255	rpmI
ATU_RS01225	Atu0256	rplT
ATU_RS01230	Atu0257	Atu0257
ATU_RS01235	Atu0258	pheS
ATU_RS01240	Atu0259	pheT
ATU_RS01245	Atu0260	Atu0260
ATU_RS01250	Atu0261	Atu0261
ATU_RS01255	Atu0262	Atu0262
ATU_RS01260	Atu0263	Atu0263
ATU_RS01265	Atu0264	Atu0264
ATU_RS01270	Atu0265	Atu0265
ATU_RS01275	Atu0266	Atu0266
ATU_RS01280	Atu0267	Atu0267
ATU_RS01285	Atu0268	Atu0268
ATU_RS01290	Atu0269	xseA
ATU_RS01295	Atu0270	Atu0270
ATU_RS01300	Atu0271	Atu0271
ATU_RS01305	Atu0272	pecS
ATU_RS01310	Atu0273	pecM
ATU_RS01315	Atu0274	ampS
ATU_RS01320	Atu0275	Atu0275
ATU_RS01325	Atu0276	Atu0276
ATU_RS01330	Atu0278	Atu0278
ATU_RS01335	Atu0279	Atu0279
ATU_RS01340	Atu0280	Atu0280
ATU_RS01345	Atu0281	guaA
ATU_RS01350	Atu0282	pfs
ATU_RS01355	Atu0283	Atu0283
ATU_RS01360	Atu0284	tspO
ATU_RS01365	Atu0285	Atu0285
ATU_RS01370	Atu0286	Atu0286
ATU_RS01375	Atu0287	Atu0287
ATU_RS01380	Atu0288	Atu0288
ATU_RS01385	Atu0289	sun
ATU_RS01390	Atu0290	Atu0290
ATU_RS01395	Atu0291	Atu0291
ATU_RS01400	Atu0292	Atu0292
ATU_RS01405	Atu0293	Atu0293
ATU_RS01410	Atu0294	bacA
ATU_RS01415	Atu0296	Atu0296
ATU_RS01420	Atu0297	Atu0297
ATU_RS01425	Atu0298	pyrF
ATU_RS01430	Atu0299	Atu0299
ATU_RS01435	Atu0300	Atu0300
ATU_RS01440	Atu0301	dnaN
ATU_RS01445	Atu0302	Atu0302
ATU_RS01450	Atu0303	Atu0303
ATU_RS01455	Atu0304	nodL
ATU_RS01460	Atu0305	ugpA
ATU_RS01465	Atu0306	ugpA
ATU_RS01470	Atu0307	ugpE
ATU_RS01475	Atu0308	ugpC
ATU_RS01480	Atu0309	Atu0309
ATU_RS01485	Atu0310	gshB
ATU_RS01490	Atu0311	Atu0311
ATU_RS01495	Atu0312	cysK
ATU_RS01500	Atu0313	Atu0313
ATU_RS01505	Atu0314	dut
ATU_RS01510	Atu0315	prfC
ATU_RS01515	Atu0316	dfp
ATU_RS01520	Atu0317	Atu0317
ATU_RS01525	Atu0318	Atu0318
ATU_RS01530	Atu0319	aarF
ATU_RS01535	Atu0320	ubiE
ATU_RS01540	Atu0321	mutM
ATU_RS01545	Atu0322	fadB
ATU_RS01550	Atu0323	rpsT
ATU_RS01555	Atu0324	dnaA
ATU_RS01560	Atu0325	hemN
ATU_RS01565	Atu0326	ham1
ATU_RS01570	Atu0327	rph
ATU_RS01575	Atu0328	hrcA
ATU_RS01580	Atu0329	grpE
ATU_RS01585	Atu0330	ptsN
ATU_RS01590	Atu0331	Atu0331
ATU_RS01595	Atu0332	rpoN
ATU_RS01600	Atu0333	Atu0333
ATU_RS01605	Atu0334	Atu0334
ATU_RS01610	Atu0335	Atu0335
ATU_RS01615	Atu0337	sppA
ATU_RS01620	Atu0338	ihfB
ATU_RS01625	Atu0339	Atu0339
ATU_RS01630	Atu0340	Atu0340
ATU_RS01635	Atu0341	trmH
ATU_RS01640	Atu0342	lspA
ATU_RS01645	Atu0343	barA
ATU_RS01650	Atu0344	Atu0344
ATU_RS01655	Atu0345	mutS
ATU_RS01660	Atu0346	glnD
ATU_RS01665	Atu0347	mviN
ATU_RS01670	Atu0348	Atu0348
ATU_RS01675	Atu0349	trpS
ATU_RS01680	Atu8118	Atu8118
ATU_RS01685	Atu0351	Atu0351
ATU_RS01690	Atu0352	Atu0352
ATU_RS01695	Atu0353	Atu0353
ATU_RS01700	Atu0354	fur
ATU_RS01705	Atu0355	plsC
ATU_RS01710	Atu0356	miaB
ATU_RS01715	Atu0357	phoH
ATU_RS01720	Atu0358	Atu0358
ATU_RS01725	Atu0359	Atu0359
ATU_RS01730	Atu0360	lnt
ATU_RS01735	Atu0361	Atu0361
ATU_RS01740	Atu0362	metK
ATU_RS01745	Atu0363	Atu0363
ATU_RS01750	Atu0364	rbsK
ATU_RS01755	Atu0365	Atu0365
ATU_RS01760	Atu0366	def
ATU_RS01765	Atu0367	fmt
ATU_RS01770	Atu0368	truA
ATU_RS01775	Atu0369	Atu0369
ATU_RS01780	Atu0370	dapE
ATU_RS01785	Atu0371	dapD
ATU_RS01790	Atu0372	Atu0372
ATU_RS01795	Atu0373	Atu0373
ATU_RS01800	Atu0374	iunH
ATU_RS01805	Atu0375	hspC
ATU_RS01810	Atu0376	Atu0376
ATU_RS01815	Atu0377	Atu0377
ATU_RS01820	Atu0378	Atu0378
ATU_RS01825	Atu0379	Atu0379
ATU_RS01830	Atu0380	argB
ATU_RS01835	Atu0382	Atu0382
ATU_RS01840	Atu0383	cgpA
ATU_RS01845	Atu0384	yidC
ATU_RS01850	Atu0385	rnpA
ATU_RS01855	Atu8066	rpmH
ATU_RS01860	Atu0387	mcpA
ATU_RS01865	Atu0388	Atu0388
ATU_RS01870	Atu0389	Atu0389
ATU_RS01875	Atu0390	ubiE
ATU_RS01880	Atu0391	Atu0391
ATU_RS01885	Atu0392	Atu0392
ATU_RS01890	Atu0393	Atu0393
ATU_RS01895	Atu0394	Atu0394
ATU_RS01900	Atu0395	Atu0395
ATU_RS01905	Atu0396	Atu0396
