gene_id,CD0_1_fpkm,CD0_2_fpkm,CD0_3_fpkm,CD3_1_fpkm,CD3_2_fpkm,CD3_3_fpkm,CD4_1_fpkm,CD4_2_fpkm,CD4_3_fpkm,ND0_1_fpkm,ND0_2_fpkm,ND0_3_fpkm,ND3_1_fpkm,ND3_2_fpkm,ND4_1_fpkm,ND4_2_fpkm,ND4_3_fpkm
Atu1922,171.4798715,183.5881407,121.5320372,69.1354223,45.1511057,84.51901112,270.1182516,74.31353389,41.32900986,242.3872045,214.293934,239.5332948,416.7818612,786.8315872,226.4049885,966.0275967,271.0470269
Atu1921,0.254338794,2.406234612,0.642284762,2.595091189,4.406499663,1.145637608,18.47807676,3.817153848,0,1.462030806,1.160042535,1.062596934,1.443328383,1.262245672,1.114929828,2.289714194,0.841772459
Atu1825,80.46496848,85.48967148,114.379388,135.543609,170.9721869,105.1430946,286.7797513,98.26234886,135.4319862,66.65398446,79.75611122,86.76162352,69.31609793,46.23526454,73.28363586,51.36115152,38.1565743
Atu1927,98.6834519,89.04807212,89.61955911,37.16727917,43.02991281,47.73233737,59.34480311,59.63982656,73.52310658,120.4968504,100.4409983,117.0058799,149.7406965,182.8723662,93.36772024,187.1658868,113.9839003
Atu1926,56.73046156,47.02727638,38.58273035,19.16679025,32.54546705,33.84574049,47.31138029,42.28902677,32.76949919,66.73317161,65.84986919,57.62758297,109.7022818,157.9770065,76.05807409,152.6248514,84.08697972
Atu1925,342.3834398,357.7705193,343.4186967,159.6297556,140.7393002,295.4347909,588.71453,424.4488876,214.7092463,358.3473166,268.5680357,383.9159021,947.4250729,852.9925995,529.2307374,755.3508836,523.0204326
Atu1924,241.3949054,219.179497,170.1313523,72.61264768,88.77402013,76.93397166,430.1696269,93.99007282,103.8311894,279.1612868,201.8015093,278.6339345,645.8733023,1062.897359,321.041315,1054.238355,439.2716733
Atu1288,36.92237996,39.20613664,37.29620906,11.98684978,18.89998665,12.85140418,34.14044658,18.89101649,30.60783361,52.5784072,55.87932783,48.38068898,43.98358034,53.30626619,41.13242972,49.3875386,36.45175382
Atu0920,35.96386363,31.1037759,31.15081098,18.61338293,27.09066342,37.56400494,10.09787857,89.95848839,53.72771282,52.13272384,33.9610038,46.35124796,47.05601659,23.51558838,44.2424427,20.82208845,28.89443246
Atu1929,149.1937977,149.6814314,108.2080802,31.79669625,43.86786375,59.65757101,139.6164579,52.61645225,55.59839432,165.2541115,164.471354,191.109257,410.965313,1154.840644,235.0282746,1346.202814,240.9269076
Atu1928,167.4534824,172.6970777,109.0278384,42.47839889,20.03580315,47.92345318,210.6038798,65.95326133,47.68334513,210.5982275,256.7961302,260.624668,329.5635345,1055.817584,228.585954,1066.611481,197.4956022
Atu0024,8.850846322,12.73024644,12.20220091,34.84313113,13.88545303,11.92887068,4.050561459,6.275659716,9.394371921,11.81808235,10.03544464,7.903011096,3.091999325,3.678794589,3.777132585,4.117362124,3.085012837
Atu2057,43.51043107,36.56130465,41.3833804,28.37614256,28.75441325,25.86224825,28.24346035,34.33356379,44.10431549,35.17061308,47.40626811,34.42869267,18.55905591,27.64464066,45.15410516,31.09431876,35.1845583
Atu3217,5.555904799,10.39707725,11.02387949,31.3811228,5.156667836,8.937816189,5.766348886,7.444985052,9.440299303,10.15151095,10.86023735,8.408393434,32.75718719,6.624713209,7.670271567,8.150200843,8.12688431
Atu3216,0,3.906069046,0.951169801,8.647002319,2.447120996,11.45200341,0,0,0,2.59817383,1.104380734,1.011610822,3.06043711,0.127450899,0.900609521,2.066314121,0.350604655
Atu2568,2.049579386,7.789365867,2.108670282,15.10343072,1.972756003,5.128931444,5.514995217,5.126731245,0,2.094527826,1.63221809,1.08735194,13.39327994,19.00783098,9.529141505,27.67736065,17.71218758
Atu2569,1.582506013,5.846930916,4.098790918,13.0416137,3.163547866,4.386586103,10.61273751,6.394360516,0,4.268504744,4.441741812,6.175595669,35.85898437,59.97403284,32.30862592,71.57592906,54.8431025
Atu3213,3.812769733,5.712703851,5.097405433,26.31658383,5.828597281,11.1126848,4.345147746,8.415089164,7.113599273,4.512358716,4.384056854,2.275613434,9.372091824,1.416636051,2.413224147,2.650083985,2.041298214
Atu3212,14.64560064,16.65364197,15.63044226,15.34359128,14.72596133,15.90331216,21.53381525,18.64403147,19.70064816,27.1356534,30.58770409,37.85199856,45.67070266,26.54851762,19.48960373,26.63461491,27.0490046
